start_ip,end_ip,join_key,asn,domain,name,type,country
240c:4006:c000::,240c:4006:ffff:ffff:ffff:ffff:ffff:ffff,240c:4006:c000::,AS38365,baidu.com,"Beijing Baidu Netcom Science and Technology Co., Ltd.",education,CN
38.105.169.0,38.105.169.255,38.105.0.0,AS19601,wagweb.com,"Cadian Capital Management, LLC",business,US
214.3.125.0,214.3.125.255,214.3.0.0,AS6026,mail.mil,DoD Network Information Center,business,US
185.41.64.0,185.41.67.255,185.41.0.0,AS50272,avur.no,AVUR DRIFT AS,isp,NO
173.65.188.0,173.65.189.255,173.65.0.0,AS5650,frontier.com,"Frontier Communications of America, Inc.",isp,US
2a0b:c040:8000::,2a0b:c040:bfff:ffff:ffff:ffff:ffff:ffff,2a0b:c040:8000::,AS42237,icmenet.com,w1n ltd,hosting,GB
2c0e:2456::,2c0e:2456:3fff:ffff:ffff:ffff:ffff:ffff,2c0e:2456::,AS5713,telkom.co.za,Telkom SA Ltd.,isp,ZA
2a06:e182:c000::,2a06:e182:ffff:ffff:ffff:ffff:ffff:ffff,2a06:e182:c000::,AS57081,scarfbot.com,"Scarfbot Technologies, s.r.o.",business,CZ
103.79.24.0,103.79.25.255,103.79.0.0,AS9808,10086.cn,"China Mobile Communications Group Co., Ltd.",isp,CN
240d:44d4:c000::,240d:44d4:ffff:ffff:ffff:ffff:ffff:ffff,240d:44d4:c000::,AS133111,cernet.com,"CERNET New Technology Co., Ltd",isp,CN
2001:52f2:4000::,2001:52f2:7fff:ffff:ffff:ffff:ffff:ffff,2001:52f2:4000::,AS1273,vodafone.com,Vodafone Group PLC,isp,EU
2a01:2664:c000::,2a01:2664:ffff:ffff:ffff:ffff:ffff:ffff,2a01:2664:c000::,AS3269,telecomitalia.com,Telecom Italia S.p.A.,isp,IT
2401:b80:8000::,2401:b80:bfff:ffff:ffff:ffff:ffff:ffff,2401:b80:8000::,AS133334,dctv.com.ph,DCTV Cable Network Broadband Services Inc,hosting,PH
240c:c694:8000::,240c:c694:bfff:ffff:ffff:ffff:ffff:ffff,240c:c694:8000::,AS23910,cernet.edu.cn,China Next Generation Internet CERNET2,education,CN
2409:439b:c000::,2409:439b:ffff:ffff:ffff:ffff:ffff:ffff,2409:439b:c000::,AS55836,jio.com,Reliance Jio Infocomm Limited,isp,IN
2a0d:1682:c000::,2a0d:1682:ffff:ffff:ffff:ffff:ffff:ffff,2a0d:1682:c000::,AS199926,netent.com,NetEnt (Gibraltar) Ltd.,business,GI
2a10:9b46::,2a10:9b46:3fff:ffff:ffff:ffff:ffff:ffff,2a10:9b46::,AS211733,primecreationevents.fr,Prime creation events SAS,business,FR
137.134.84.0,137.134.84.255,137.134.0.0,AS32180,rocketsoftware.com,ROCKET SOFTWARE INC,business,US
45.176.208.0,45.176.211.255,45.176.0.0,AS268953,g6telecom.com.br,G6 TELECOM,isp,BR
210.35.0.0,210.35.79.255,210.35.0.0,AS4538,tsinghua.edu.cn,China Education and Research Network Center,education,CN
195.191.84.0,195.191.85.255,195.191.0.0,AS43731,barclays.co.uk,Barclays Bank PLC,business,IT
125.61.94.0,125.61.94.255,125.61.0.0,AS23575,skbroadband.com,SK Broadband Co Ltd,isp,KR
185.4.44.0,185.4.47.255,185.4.0.0,AS51335,nbs-system.com,No Blue Screen System SAS,hosting,FR
154.16.243.0,154.16.243.255,154.16.0.0,AS61317,heficed.com,IPXO UK LIMITED,business,GB
2603:2c08:8000::,2603:2c08:bfff:ffff:ffff:ffff:ffff:ffff,2603:2c08:8000::,AS7922,comcast.com,"Comcast Cable Communications, LLC",isp,US
2607:f220:402::,2607:f220:402:ffff:ffff:ffff:ffff:ffff,2607:f220::,AS30387,nih.gov,National Institutes of Health,business,US
193.200.141.0,193.200.141.255,193.200.0.0,AS33906,euroanswer.co.uk,SC EuroAnswer SRL,inactive,RO
2a10:9806:c000::,2a10:9806:ffff:ffff:ffff:ffff:ffff:ffff,2a10:9806:c000::,AS212708,globedatacenter.com,GLOBE DataCenter BV,hosting,NL
240f:98:4000::,240f:98:7fff:ffff:ffff:ffff:ffff:ffff,240f:98:4000::,AS2516,kddi.com,KDDI CORPORATION,isp,JP
193.28.178.0,193.28.178.255,193.28.0.0,AS49505,selectel.com,OOO Network of data-centers Selectel,hosting,RU
2c0e:335:4000::,2c0e:335:7fff:ffff:ffff:ffff:ffff:ffff,2c0e:335:4000::,AS24863,link.net,Link Egypt (Link.NET),isp,EG
23.67.62.0,23.67.62.255,23.67.0.0,AS4609,ctm.net,Companhia de Telecomunicacoes de Macau SARL,isp,MO
2a11:ee47:8000::,2a11:ee47:bfff:ffff:ffff:ffff:ffff:ffff,2a11:ee47:8000::,AS203942,telioonline.com,Telio Online Ltd,business,GB
2c0e:740::,2c0e:740:3fff:ffff:ffff:ffff:ffff:ffff,2c0e:740::,AS24863,link.net,Link Egypt (Link.NET),isp,EG
2607:fae0:8000::,2607:fae0:8fff:ffff:ffff:ffff:ffff:ffff,2607:fae0:8000::,AS8038,6connect.net,"6connect, Inc.",hosting,US
2001:da8:f200::,2001:da8:f5ff:ffff:ffff:ffff:ffff:ffff,2001:da8:c000::,AS23910,cernet.edu.cn,China Next Generation Internet CERNET2,education,CN
2c0e:26dd:4000::,2c0e:26dd:7fff:ffff:ffff:ffff:ffff:ffff,2c0e:26dd:4000::,AS5713,telkom.co.za,Telkom SA Ltd.,isp,ZA
194.146.88.0,194.146.91.255,194.146.0.0,AS202862,adeo.com,ADEO SERVICES SA,business,FR
2603:20d2:4000::,2603:20d2:7fff:ffff:ffff:ffff:ffff:ffff,2603:20d2:4000::,AS7922,comcast.com,"Comcast Cable Communications, LLC",isp,US
45.234.64.0,45.234.67.255,45.234.0.0,AS267362,speednetjussara.com.br,J.C BARBOSA SPEED NET,business,BR
2600:1403:8000::,2600:1403:bfff:ffff:ffff:ffff:ffff:ffff,2600:1403:8000::,AS20940,akamai.com,Akamai International B.V.,hosting,NL
2601:168::,2601:168:3fff:ffff:ffff:ffff:ffff:ffff,2601:168::,AS7922,comcast.com,"Comcast Cable Communications, LLC",isp,US
240e:7d3:c000::,240e:7d3:ffff:ffff:ffff:ffff:ffff:ffff,240e:7d3:c000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
2a05:a104:4000::,2a05:a104:7fff:ffff:ffff:ffff:ffff:ffff,2a05:a104:4000::,AS200899,interspace.com,INTERSPACE DOOEL Skopje,isp,MK
2c0e:2b7b::,2c0e:2b7b:3fff:ffff:ffff:ffff:ffff:ffff,2c0e:2b7b::,AS5713,telkom.co.za,Telkom SA Ltd.,isp,ZA
