start_ip,end_ip,asn,name,domain
67.59.128.0,67.59.191.255,AS20021,"Ntirety, Inc.",ntirety.com
210.160.0.0,210.164.255.255,AS4713,NTT Communications Corporation,ntt.com
131.75.87.0,131.75.87.255,AS721,DoD Network Information Center,mail.mil
65.73.124.0,65.73.124.255,AS7011,"Frontier Communications of America, Inc.",frontiernet.net
124.250.38.0,124.250.60.255,AS56048,China Mobile Communicaitons Corporation,chinamobile.com
2806:230:101b::,2806:230:101b:ffff:ffff:ffff:ffff:ffff,AS11888,"Television Internacional, S.A. de C.V.",izzi.mx
2a00:79e1:abc::,2a00:79e1:abf:ffff:ffff:ffff:ffff:ffff,AS36384,Google LLC,google.com
187.85.56.0,187.85.59.255,AS262962,BRASIL NET EMPREENDIMENTOS LTDA - ME,brasilnett.com.br
167.82.176.0,167.82.223.255,AS33745,Atos IT Solutions and Services Inc,atos.net
2602:ffb7:d00::,2602:ffb7:dff:ffff:ffff:ffff:ffff:ffff,AS62874,Web2Objects LLC,web2objects.de
45.133.4.0,45.133.7.255,AS137409,GSL Networks Pty LTD,globalsecurelayer.com
2607:4a80::,2607:4a80:ffff:ffff:ffff:ffff:ffff:ffff,AS3778,Temple University,temple.edu
103.234.160.0,103.234.161.255,AS149131,SOC LUA COMPANY LIMITED,soclua.net
209.45.104.0,209.45.127.255,AS3132,Red Cientifica Peruana,rcp.pe
185.144.36.0,185.144.39.255,AS559,SWITCH,switch.ch
103.137.4.0,103.137.4.255,AS18403,FPT Telecom Company,fpt.vn
207.14.30.0,207.14.31.255,AS1239,Sprint,sprint.net
2607:1d00::,2607:1d00:ffff:ffff:ffff:ffff:ffff:ffff,AS63003,Infra-Solutions inc.,infra-solutions.com
103.47.208.0,103.47.211.255,AS63930,READY SERVER PTE LTD,readyserver.sg
206.12.80.0,206.12.81.255,AS271,BCnet,bc.net
2406:c500:ffd2::,2406:c500:ffd2:ffff:ffff:ffff:ffff:ffff,AS9268,Over The Wire Pty Ltd,overthewire.com.au
211.112.0.0,211.112.63.255,AS4663,"ELIMNET, INC.",elim.net
104.36.224.0,104.36.224.255,AS10122,BIGO TECHNOLOGY PTE. LTD.,bigo.sg
115.109.240.0,115.109.247.255,AS4755,TATA Communications formerly VSNL is Leading ISP,tatacommunications.com
198.164.10.0,198.164.10.255,AS395431,IGT Canada Solutions,spielo.com
159.98.80.0,159.98.103.255,AS3371,MCI,mci.com
45.140.200.0,45.140.203.255,AS201341,"trafficforce, UAB",trafficforce.lt
158.51.68.0,158.51.71.255,AS11910,LakeNet LLC,lakenetmi.com
202.138.78.0,202.138.79.255,AS45838,Anticlockwise Pty Ltd,anticlockwise.com.au
103.175.22.0,103.175.22.255,AS147199,BSOFT INDIA TECHNOLOGIES PRIVATE LIMITED,bsoftindia.com
198.27.57.0,198.27.57.255,AS1828,Unitas Global LLC,unitasglobal.com
103.93.166.0,103.93.166.255,AS18256,Bank of Ayudhya Public Company Limited.,krungsri.com
2001:250:5::,2001:250:61:ffff:ffff:ffff:ffff:ffff,AS23910,China Next Generation Internet CERNET2,cernet.edu.cn
146.135.0.0,146.135.31.255,AS5778,"CenturyLink Communications, LLC",centurylink.com
204.62.116.0,204.62.119.255,AS19247,Northwestern Memorial Hospital,nm.org
188.214.159.0,188.214.159.255,AS41011,CH-NET S.R.L.,ch-center.ro
6.16.177.0,6.16.191.255,AS749,DoD Network Information Center,mail.mil
91.227.140.0,91.227.143.255,AS56776,DialogSiberia-Barnaul Ltd,dialog-it.ru
202.50.180.0,202.50.181.255,AS20868,ABB Information Systems Ltd,abb.com
138.36.164.0,138.36.167.255,AS263444,Open X Tecnologia Ltda,openx.com.br
37.156.108.0,37.156.108.255,AS200845,"AVATEL TELECOM, SA",avatel.es
194.75.32.0,194.75.79.255,AS2856,British Telecommunications PLC,bt.com
217.23.0.0,217.23.15.255,AS49981,WorldStream B.V.,worldstream.com
