start_ip,end_ip,join_key,city,region,region_name,country,country_name,latitude,longitude,postal_code,timezone,geoname_id,radius
221.182.124.67,221.182.124.69,221.182.0.0,Chengdu,SC,Sichuan,CN,China,30.66667,104.06667,610000,Asia/Shanghai,1815286,500
12.151.164.152,12.151.164.159,12.151.0.0,Winfield,KS,Kansas,US,United States,37.23975,-96.99559,67156,America/Chicago,4281897,500
51.10.41.42,51.10.41.42,51.10.0.0,Des Moines,IA,Iowa,US,United States,41.60054,-93.60911,50307,America/Chicago,4853828,1000
111.239.93.198,111.239.93.199,111.239.0.0,Yokohama,14,Kanagawa,JP,Japan,35.43333,139.65,220-8588,Asia/Tokyo,1848354,1000
58.138.110.46,58.138.110.46,58.138.0.0,Nagoya,23,Aichi,JP,Japan,35.18147,136.90641,460-0002,Asia/Tokyo,1856057,200
102.220.235.82,102.220.235.88,102.220.0.0,Durban,KZN,KwaZulu-Natal,ZA,South Africa,-29.8579,31.0292,4001,Africa/Johannesburg,1007311,50
118.56.160.92,118.56.160.95,118.56.0.0,Gwangju,41,Gyeonggi-do,KR,South Korea,37.41,127.25722,12741,Asia/Seoul,1841810,50
89.175.66.226,89.175.66.232,89.175.0.0,Moscow,MOW,Moscow,RU,Russia,55.75204,37.61781,101000,Europe/Moscow,524901,50
146.75.229.44,146.75.229.45,146.75.0.0,Alpena,MI,Michigan,US,United States,45.06168,-83.43275,49707,America/Detroit,4984075,1000
66.206.248.84,66.206.248.87,66.206.0.0,Timmins,ON,Ontario,CA,Canada,48.46686,-81.33312,P4N,America/Toronto,6166739,5
189.28.210.244,189.28.210.253,189.28.0.0,Blumenau,SC,Santa Catarina,BR,Brazil,-26.91944,-49.06611,89000-000,America/Sao_Paulo,3469968,5
70.55.182.142,70.55.182.143,70.55.0.0,Québec,QC,Quebec,CA,Canada,46.81228,-71.21454,G1K,America/Toronto,6325494,100
67.233.122.24,67.233.122.24,67.233.0.0,Richmond,VA,Virginia,US,United States,37.55376,-77.46026,23173,America/New_York,4781708,50
155.2.163.80,155.2.163.87,155.2.0.0,Reykjavík,1,Capital Region,IS,Iceland,64.13548,-21.89541,102,Atlantic/Reykjavik,3413829,500
