start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
101.128.190.50,101.128.190.51,101.128.0.0,Towada,Aomori,JP,40.62049,141.21067,034-0000,Asia/Tokyo
106.132.226.211,106.132.226.211,106.132.0.0,Nagoya,Aichi,JP,35.18147,136.90641,460-0002,Asia/Tokyo
108.198.193.192,108.198.193.255,108.198.0.0,Jackson,Mississippi,US,32.29876,-90.18481,39201,America/Chicago
106.161.221.231,106.161.221.231,106.161.0.0,Kyoto,Kyoto,JP,35.02107,135.75385,602-0054,Asia/Tokyo
101.119.179.254,101.119.180.1,101.119.0.0,Melbourne,Victoria,AU,-37.814,144.96332,3000,Australia/Melbourne
108.247.96.75,108.247.96.75,108.247.0.0,Desloge,Missouri,US,37.87088,-90.52735,63601,America/Chicago
103.104.82.0,103.104.82.127,103.104.0.0,Canberra,Australian Capital Territory,AU,-35.28346,149.12807,2600,Australia/Sydney
107.1.209.35,107.1.209.44,107.1.0.0,Washington,"Washington, D.C.",US,38.89511,-77.03637,20004,America/New_York
108.214.134.196,108.214.134.199,108.214.0.0,Richardson,Texas,US,32.9462,-96.7058,75081,America/Chicago
105.247.231.8,105.247.231.11,105.247.0.0,Mahikeng,North-West,ZA,-25.86522,25.64421,0357,Africa/Johannesburg
101.162.73.104,101.162.73.111,101.162.0.0,Townsville,Queensland,AU,-19.29718,146.76603,4814,Australia/Brisbane
101.177.162.240,101.177.162.255,101.177.0.0,Brisbane,Queensland,AU,-27.63123,153.0556,4116,Australia/Brisbane
101.119.101.193,101.119.101.193,101.119.0.0,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
101.58.65.162,101.58.65.162,101.58.0.0,Scandicci,Tuscany,IT,43.75423,11.18794,50018,Europe/Rome
104.1.81.0,104.1.81.255,104.1.0.0,Chicago,Illinois,US,41.85003,-87.65005,60666,America/Chicago
103.172.207.32,103.172.207.63,103.172.0.0,Teni,Tamil Nadu,IN,10.01115,77.47772,625531,Asia/Kolkata
107.126.84.239,107.126.84.239,107.126.0.0,Cynthiana,Kentucky,US,38.39035,-84.2941,41031,America/New_York
101.119.174.53,101.119.174.71,101.119.0.0,Melbourne,Victoria,AU,-37.814,144.96332,3000,Australia/Melbourne
105.186.213.0,105.186.213.255,105.186.0.0,Welkom,Orange Free State,ZA,-27.9833,26.7333,9473,Africa/Johannesburg
1.20.146.208,1.20.146.208,1.20.0.0,Ko Pha Ngan,Surat Thani,TH,9.71945,99.99511,84280,Asia/Bangkok
104.56.235.176,104.56.235.211,104.56.0.0,Minooka,Illinois,US,41.45531,-88.26173,60447,America/Chicago
101.100.131.128,101.100.131.131,101.100.0.0,Hamilton,Waikato,NZ,-37.7833,175.2833,3257,Pacific/Auckland
101.119.68.227,101.119.68.236,101.119.0.0,Canberra,Australian Capital Territory,AU,-35.28346,149.12807,2600,Australia/Sydney
