start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
2607:fa49:9d01:100::,2607:fa49:9d01:ffff:ffff:ffff:ffff:ffff,2607:fa49:8000::,Boucherville,Quebec,CA,45.59104,-73.43605,J4B,America/Toronto
200.238.73.200,200.238.73.207,200.238.0.0,Itapissuma,Pernambuco,BR,-7.77639,-34.89222,53700-000,America/Recife
2001:268:9680:fb00::,2001:268:9680:fbff:ffff:ffff:ffff:ffff,2001:268:8000::,Osaka,Osaka,JP,34.69379,135.50107,543-0062,Asia/Tokyo
179.98.72.226,179.98.72.227,179.98.0.0,São José do Rio Pardo,São Paulo,BR,-21.59556,-46.88861,13720-000,America/Sao_Paulo
2409:894d:1704::,2409:894d:1704:fff:ffff:ffff:ffff:ffff,2409:894d::,Hefei,Anhui,CN,31.86389,117.28083,230000,Asia/Shanghai
176.26.2.250,176.26.2.250,176.26.0.0,Fremington,England,GB,51.06955,-4.1366,EX31,Europe/London
2a11:a6bf::,2a11:a6bf:3fff:ffff:ffff:ffff:ffff:ffff,2a11:a6bf::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
70.43.132.67,70.43.132.67,70.43.0.0,Savannah,Georgia,US,32.08354,-81.09983,31402,America/New_York
122.52.17.37,122.52.17.37,122.52.0.0,Manila,Metro Manila,PH,14.6042,120.9822,1001,Asia/Manila
2801:8b54:8000::,2801:8b54:bfff:ffff:ffff:ffff:ffff:ffff,2801:8b54:8000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
177.57.158.84,177.57.158.87,177.57.0.0,Canoas,Rio Grande do Sul,BR,-29.91778,-51.18361,92000-000,America/Sao_Paulo
71.208.78.154,71.208.78.154,71.208.0.0,Cape Coral,Florida,US,26.56285,-81.94953,33910,America/New_York
2602:1103::,2602:1103:3fff:ffff:ffff:ffff:ffff:ffff,2602:1103::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2409:4081:e0c:9500::,2409:4081:e0c:95ff:ffff:ffff:ffff:ffff,2409:4081::,Kolhāpur,Maharashtra,IN,16.69563,74.23167,416218,Asia/Kolkata
2409:8a60:cc26::,2409:8a60:cc26:72ff:ffff:ffff:ffff:ffff,2409:8a60:c000::,Shanghai,Shanghai,CN,31.22222,121.45806,200000,Asia/Shanghai
2804:33cf:c000::,2804:33cf:ffff:ffff:ffff:ffff:ffff:ffff,2804:33cf:c000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
147.161.7.164,147.161.7.167,147.161.0.0,Shipman,Illinois,US,39.11755,-90.04427,62685,America/Chicago
