ip,service,last_seen,percent_days_seen
1.0.66.218,anyIP,2026-05-02,6
1.0.66.247,anyIP,2026-05-06,19
1.0.70.185,DataImpulse,2026-05-08,35
1.0.73.49,Proxy-Seller,2026-05-10,23
1.0.75.32,Proxy-Seller,2026-05-09,48
1.0.76.162,Proxy-Seller,2026-05-13,26
1.0.78.146,Geonix,2026-04-17,3
1.0.80.28,anyIP,2026-05-07,19
1.0.81.131,Proxy-Seller,2026-04-30,23
1.0.81.198,Swiftproxy.net,2026-04-16,3
1.0.82.38,Nstproxy,2026-05-07,3
1.0.84.29,NodeMaven,2026-04-25,3
1.0.86.38,anyIP,2026-04-16,3
1.0.88.60,anyIP,2026-04-22,3
1.0.90.172,Byteful,2026-04-17,3
1.0.92.216,Proxyma,2026-05-02,3
1.0.92.244,anyIP,2026-05-14,39
1.0.94.84,Proxy-Seller,2026-04-26,6
1.0.95.19,anyIP,2026-05-16,32
1.0.97.76,Litport.net,2026-05-16,13
1.0.98.201,anyIP,2026-05-13,3
1.0.99.227,anyIP,2026-04-19,3
1.0.99.240,anyIP,2026-05-13,10
1.0.100.3,Proxy-Seller,2026-05-13,6
1.0.100.222,Lightning Proxies,2026-05-15,3
1.0.100.233,Proxy-Seller,2026-05-15,29
1.0.108.116,anyIP,2026-05-04,6
1.0.108.185,Proxy-Seller,2026-05-15,13
1.0.110.193,ProxyEmpire,2026-05-09,10
1.0.111.172,anyIP,2026-04-27,10
1.0.113.247,anyIP,2026-05-07,23
1.0.114.95,anyIP,2026-04-29,3
1.0.117.98,ProxyEmpire,2026-05-02,39
1.0.121.44,Proxy-Seller,2026-05-09,55
1.0.121.89,Proxy-Seller,2026-05-15,13
1.0.122.175,IPFoxy,2026-05-01,3
1.0.122.229,OkeyProxy,2026-05-16,35
1.0.123.139,Proxy-Seller,2026-05-10,13
1.0.124.33,Nstproxy,2026-04-18,3
1.0.124.237,anyIP,2026-04-24,6
1.0.126.39,anyIP,2026-04-19,6
1.0.126.158,Proxy-Seller,2026-05-11,23
1.0.128.21,Proxy-Seller,2026-05-01,16
1.0.128.30,Geonix,2026-04-24,6
1.0.128.67,NetNut,2026-05-15,32
1.0.128.76,NetNut,2026-05-15,19
1.0.128.97,ProxyScrape,2026-05-15,23
1.0.128.181,Rapidproxy,2026-04-22,3
1.0.128.240,Proxy-Seller,2026-05-11,6
1.0.132.53,FlashProxy,2026-04-30,3
1.0.132.97,FlashProxy,2026-05-15,39
1.0.132.123,Proxyma,2026-05-12,3
1.0.132.127,ProxyScrape,2026-05-12,23
1.0.132.253,Proxy-Seller,2026-04-27,10
1.0.133.28,anyIP,2026-04-28,3
1.0.137.31,IPFoxy,2026-04-28,3
1.0.137.120,ProxyScrape,2026-04-21,13
1.0.138.68,Rapidproxy,2026-04-23,3
1.0.138.90,FlashProxy,2026-05-14,3
1.0.138.109,FlashProxy,2026-05-15,16
1.0.138.110,MoMo Proxy,2026-04-20,6
1.0.138.111,ProxyScrape,2026-05-06,10
1.0.138.194,711Proxy,2026-05-06,23
1.0.138.249,NetNut,2026-05-14,19
1.0.138.253,MoMo Proxy,2026-04-22,6
1.0.140.1,Kocerroxy,2026-05-12,3
1.0.140.3,thunderproxy,2026-05-15,6
1.0.140.4,ProxyScrape,2026-05-12,6
1.0.140.5,anyIP,2026-05-09,3
1.0.140.6,Thordata,2026-05-16,6
1.0.140.7,Swiftproxy.net,2026-05-16,10
1.0.140.9,ProxyScrape,2026-05-09,6
1.0.140.11,Nstproxy,2026-05-16,3
1.0.140.12,ProxyScrape,2026-05-15,6
1.0.140.13,Kocerroxy,2026-05-12,3
1.0.140.15,ProxyScrape,2026-05-16,3
1.0.140.16,Thordata,2026-05-11,3
1.0.140.20,FlashProxy,2026-05-13,10
1.0.140.22,ProxyScrape,2026-05-08,3
1.0.140.23,MoMo Proxy,2026-05-14,3
1.0.140.25,MoMo Proxy,2026-05-15,3
1.0.140.28,FlashProxy,2026-05-12,6
1.0.140.29,ProxyShare,2026-05-11,3
1.0.140.31,711Proxy,2026-05-15,3
1.0.140.33,ProxyScrape,2026-05-16,3
1.0.140.34,IPRocket,2026-05-15,6
1.0.140.36,Proxies.Fo,2026-05-14,3
1.0.140.37,Rainproxy,2026-05-16,3
1.0.140.38,ProxyScrape,2026-05-16,10
1.0.140.39,711Proxy,2026-05-13,3
1.0.140.41,NetNut,2026-05-15,6
1.0.140.43,goproxy_mobile,2026-05-10,3
1.0.140.44,Kocerroxy,2026-05-15,10
1.0.140.47,MoMo Proxy,2026-05-13,6
1.0.140.50,Flow Proxies,2026-05-10,3
1.0.140.52,FlashProxy,2026-05-15,10
1.0.140.54,Thordata,2026-05-11,3
1.0.140.57,anyIP,2026-05-14,3
1.0.140.58,Novproxy,2026-05-11,3
1.0.140.59,Proxy4u,2026-05-13,6
