start_ip,end_ip,join_key,name,domain,type,asn,as_name,as_domain,as_type,country
12.168.13.32,12.168.13.39,12.168.0.0,BETHANY PROPERTIES LLC,bethany.org,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.25.216.96,12.25.216.127,12.25.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.226.5.64,122.226.5.79,122.226.0.0,"Herun Group CO.,Ltd.",herun.com,business,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp,CN
118.215.0.0,118.215.191.255,118.215.0.0,"Akamai Technologies, Inc.",akamai.com,hosting,AS20940,Akamai International B.V.,akamai.com,hosting,SG
119.93.25.176,119.93.25.176,119.93.0.0,18-3393826_LAMONTE SALES AND MECHANDISINGSPECIA,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
124.106.69.36,124.106.69.36,124.106.0.0,SMEBGN2012112508498_ST. PATRICK PAWNSHOP,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
104.186.26.216,104.186.26.223,104.186.0.0,Private Customer - AT&T Internet Services,ads-internet.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.157.167.32,12.157.167.47,12.157.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.17.107.224,12.17.107.231,12.17.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.53.105.128,122.53.105.255,122.53.0.0,1-RXWBDW_CRUZ TELEPHONE COMPANY (CRUZTELCO) INC.,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
104.182.117.176,104.182.117.183,104.182.0.0,AT&T Corp.,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
100.42.237.144,100.42.237.151,100.42.0.0,Shengnuo Network,126.com,business,AS54288,"SolidTools Technology, Inc.",solidtools.com,hosting,CN
110.174.141.228,110.174.141.231,110.174.0.0,MIDDY'S,middys.com.au,business,AS7545,TPG Telecom Limited,tpgtelecom.com.au,isp,AU
109.228.184.64,109.228.184.111,109.228.0.0,Dynamic private network,bahnhof.net,isp,AS8473,Bahnhof AB,bahnhof.se,isp,SE
110.50.70.0,110.50.70.127,110.50.0.0,"KVH Co.,Ltd",kvhasia.com,isp,AS10021,"KVH Co.,Ltd",kvhasia.com,isp,JP
12.220.0.24,12.220.0.31,12.220.0.0,ATT BCARS-UVN-POPULAR FINANC,usaa.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
115.231.64.152,115.231.64.155,115.231.0.0,"Pinghu Myriad Flower City Real Estate Development Co.,Ltd",hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp,CN
12.129.136.64,12.129.136.71,12.129.0.0,COUNTRYWIDE HOME LOANS CPS-B,countrywide.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.42.27.192,12.42.27.199,12.42.0.0,UNITED ENTERTAINMENT CORP,uecmovies.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.54.50.128,12.54.50.143,12.54.0.0,KEN VANCE CAR CITY INC,kenvance.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
109.254.16.0,109.254.19.255,109.254.0.0,DEC Broadband customers Leninskiy region,dec.net.ua,business,AS20590,Donbass Electronic Communications Ltd.,dec.net.ua,business,RU
12.14.248.128,12.14.248.135,12.14.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
124.104.133.171,124.104.133.171,124.104.0.0,2-8680361_CEBU-LHUILLIER PAWNSHOP,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
117.102.113.160,117.102.113.207,117.102.0.0,Biznet Networks,biznetnetworks.com,isp,AS17451,BIZNET NETWORKS,biznetnetworks.com,isp,ID
119.93.17.57,119.93.17.63,119.93.0.0,18-4296427_MEGAWIDE CONSTRUCTION,megawide.com.ph,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.32.75.120,12.32.75.127,12.32.0.0,ENVIRO SAFE,envirotech.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.230.99.208,12.230.99.215,12.230.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.52.15.53,122.52.15.53,122.52.0.0,"18-4316220_COB-HERNANDEZ, CONRAD ANTHONY-MERCATO CE",pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.225.126.16,122.225.126.19,122.225.0.0,"Huzhou hot spring golf club co., LTD",huptt.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp,CN
108.209.146.80,108.209.146.103,108.209.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
