start_ip,end_ip,country,country_name,continent,continent_name,asn,as_name,as_domain
2a01:4f9:6b:364f::,2a01:4f9:6b:364f:ffff:ffff:ffff:ffff,DE,Germany,EU,Europe,AS24940,Hetzner Online GmbH,hetzner.de
100.145.110.208,100.145.110.231,SA,Saudi Arabia,AS,Asia,AS21928,"T-Mobile USA, Inc.",t-mobile.com
2a09:3c82:ee60:4000::,2a09:3c82:ee62:2aff:ffff:ffff:ffff:ffff,RU,Russia,EU,Europe,AS22773,Cox Communications Inc.,cox.com
2a0e:5540:100::,2a0e:5540:100:ffff:ffff:ffff:ffff:ffff,NL,Netherlands,EU,Europe,AS208258,Access2.IT Group B.V.,hostio.solutions
115.165.192.0,115.165.207.255,TW,Taiwan,AS,Asia,AS24164,UNION BROADBAND NETWORK,twmbroadband.com
2a01:c22:7400:4314::,2a01:c22:7400:4314:ffff:ffff:ffff:ffff,HU,Hungary,EU,Europe,AS6805,Telefonica Germany GmbH & Co.OHG,telefonica.de
240e:476:2640:200::,240e:476:2640:4ff:ffff:ffff:ffff:ffff,SG,Singapore,AS,Asia,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn
91.205.71.20,91.205.71.23,HR,Croatia,EU,Europe,AS57888,Telesat d.o.o.,telesat.hr
2400:9500:c020:8c00::,2400:9500:c020:baff:ffff:ffff:ffff:ffff,NP,Nepal,AS,Asia,AS38565,Ncell Pvt. Ltd.,axiata.com
2a02:26f7:c404:f60e::,2a02:26f7:c404:ffff:ffff:ffff:ffff:ffff,JP,Japan,AS,Asia,AS36183,"Akamai Technologies, Inc.",akamai.com
2404:7ac0:4871:6200::,2404:7ac0:4871:73ff:ffff:ffff:ffff:ffff,SG,Singapore,AS,Asia,AS38136,Akari Networks,akari.net
2a09:3c82:8bfc:3e00::,2a09:3c82:8bfc:3eff:ffff:ffff:ffff:ffff,US,United States,NA,North America,AS22773,Cox Communications Inc.,cox.com
2001:5000:0:66::1,2001:5000:0:66::1,HU,Hungary,EU,Europe,AS1273,Vodafone Group PLC,vodafone.com
208.50.237.0,208.50.237.180,GB,United Kingdom,EU,Europe,AS3549,"Level 3 Parent, LLC",lumen.com
2404:7ac0:4d8f:5a00::,2404:7ac0:4d8f:5aff:ffff:ffff:ffff:ffff,HK,Hong Kong,AS,Asia,AS38136,Akari Networks,akari.net
64.157.8.0,64.157.15.255,US,United States,NA,North America,AS3064,"Ntirety, Inc.",ntirety.com
8.244.252.0,8.244.252.127,JP,Japan,AS,Asia,AS3356,"Level 3 Parent, LLC",lumen.com
2405:4803:8c6::,2405:4803:8c6:bfff:ffff:ffff:ffff:ffff,HK,Hong Kong,AS,Asia,AS18403,FPT Telecom Company,fpt.vn
212.227.155.0,212.227.162.255,DE,Germany,EU,Europe,AS8560,IONOS SE,ionos.com
103.146.104.0,103.146.104.255,AF,Afghanistan,AS,Asia,AS133894,Easy Connect- ISP,easyconnect.af
100.128.121.26,100.128.121.39,US,United States,NA,North America,AS21928,"T-Mobile USA, Inc.",t-mobile.com
2001:550:0:1000::9a36:4289,2001:550:0:1000::9a36:42b7,US,United States,NA,North America,AS174,Cogent Communications,cogentcomm.biz
