start_ip,end_ip,country,country_name,continent,continent_name
2801:152::,2801:152:ff:ffff:ffff:ffff:ffff:ffff,CO,Colombia,SA,South America
2a01:c23:8201:bed4::,2a01:c23:8201:bed4:ffff:ffff:ffff:ffff,HU,Hungary,EU,Europe
195.2.8.10,195.2.8.10,PT,Portugal,EU,Europe
2001:4dd0:af14:b299::,2001:4dd0:af14:b299:ffff:ffff:ffff:ffff,DE,Germany,EU,Europe
2409:4066:284:ad00::,2409:4066:284:aeff:ffff:ffff:ffff:ffff,BD,Bangladesh,AS,Asia
142.251.59.139,142.251.59.141,SE,Sweden,EU,Europe
160.226.179.0,160.226.179.255,GH,Ghana,AF,Africa
2a09:bac5:101f:2dd::,2a09:bac5:101f:2ff:ffff:ffff:ffff:ffff,FR,France,EU,Europe
2c0f:f8f0:f182:100::,2c0f:f8f0:f182:ffff:ffff:ffff:ffff:ffff,KE,Kenya,AF,Africa
2a02:121f:3985::,2a02:121f:3985:ff:ffff:ffff:ffff:ffff,FR,France,EU,Europe
2620:0:1cfd:4::18d9,2620:0:1cfd:4::18d9,DE,Germany,EU,Europe
2a02:a317:4d3f:ba00::,2a02:a317:4d3f:baff:ffff:ffff:ffff:ffff,NL,Netherlands,EU,Europe
2804:391c::,2804:391c:ffff:ffff:ffff:ffff:ffff:ffff,BR,Brazil,SA,South America
193.17.68.0,193.17.68.255,US,United States,NA,North America
170.33.9.166,170.33.9.166,SG,Singapore,AS,Asia
2405:4802:49a:5b00::,2405:4802:49a:62ff:ffff:ffff:ffff:ffff,VN,Vietnam,AS,Asia
2001:4dd0:af16:7094::,2001:4dd0:af16:7094:ffff:ffff:ffff:ffff,DE,Germany,EU,Europe
2a01:827:29ed:1100::,2a01:827:29ed:11ff:ffff:ffff:ffff:ffff,IT,Italy,EU,Europe
2001:4dd0:af14:9a81::,2001:4dd0:af14:9a81:ffff:ffff:ffff:ffff,DE,Germany,EU,Europe
100.253.35.8,100.253.35.47,SA,Saudi Arabia,AS,Asia
23.206.228.0,23.206.231.255,US,United States,NA,North America
96.17.192.0,96.17.193.255,FR,France,EU,Europe
2001:df1:1740::,2001:df1:1740:ffff:ffff:ffff:ffff:ffff,IN,India,AS,Asia
2606:2ac0:320::,2606:2ac0:320:ffff:ffff:ffff:ffff:ffff,US,United States,NA,North America
2402:800:629a:e100::,2402:800:629a:e1ff:ffff:ffff:ffff:ffff,SG,Singapore,AS,Asia
66.163.79.23,66.163.79.23,US,United States,NA,North America
208.97.224.8,208.97.224.15,BR,Brazil,SA,South America
81.223.8.74,81.223.8.74,NL,Netherlands,EU,Europe
2a02:26f7:d194:e049::,2a02:26f7:d194:e051:ffff:ffff:ffff:ffff,FI,Finland,EU,Europe
2a06:9f40:c640:b700::,2a06:9f40:c641:58ff:ffff:ffff:ffff:ffff,NZ,New Zealand,OC,Oceania
2a01:4f9:3080:31b1::,2a01:4f9:3080:31bf:ffff:ffff:ffff:ffff,DE,Germany,EU,Europe
110.50.132.0,110.50.132.127,AU,Australia,OC,Oceania
2a09:bac5:3dbc:137e::,2a09:bac5:3dbe:15e:ffff:ffff:ffff:ffff,US,United States,NA,North America
2a00:79e0:ffe3:3500::,2a00:79e0:ffe3:39ff:ffff:ffff:ffff:ffff,US,United States,NA,North America
2001:41a8:600:2::1ee,2001:41a8:600:2::1ee,IT,Italy,EU,Europe
2001:4dd0:af19:e076::,2001:4dd0:af19:e07a:ffff:ffff:ffff:ffff,HU,Hungary,EU,Europe
100.132.199.120,100.132.199.235,SA,Saudi Arabia,AS,Asia
2a02:3100:7201:ba57::,2a02:3100:7201:ba57:ffff:ffff:ffff:ffff,HU,Hungary,EU,Europe
2001:1900::5:d1,2001:1900::5:d3,VE,Venezuela,SA,South America
2a02:a03f:8a2e:1000::,2a02:a03f:8a2e:23ff:ffff:ffff:ffff:ffff,BE,Belgium,EU,Europe
2a04:4e41:16:3600::,2a04:4e41:16:36ff:ffff:ffff:ffff:ffff,VG,British Virgin Islands,NA,North America
2a01:c22:9201:371e::,2a01:c22:9201:371e:ffff:ffff:ffff:ffff,HU,Hungary,EU,Europe
2801:1b:6801::,2801:1b:6fff:ffff:ffff:ffff:ffff:ffff,UY,Uruguay,SA,South America
99.83.65.130,99.83.65.131,IT,Italy,EU,Europe
2402:800:7e55:a700::,2402:800:7e55:adff:ffff:ffff:ffff:ffff,JP,Japan,AS,Asia
163.116.226.106,163.116.226.106,DO,Dominican Republic,NA,North America
2a0e:419:ae81:100::,2a0e:419:ae81:ffff:ffff:ffff:ffff:ffff,GB,United Kingdom,EU,Europe
81.228.92.135,81.230.156.255,SE,Sweden,EU,Europe
2a0c:9a40:82c1::,2a0c:9a40:82cf:ffff:ffff:ffff:ffff:ffff,CH,Switzerland,EU,Europe
2001:1308:28a3:2f00::,2001:1308:28a3:30ff:ffff:ffff:ffff:ffff,US,United States,NA,North America
129.250.0.29,129.250.0.29,US,United States,NA,North America
92.60.251.61,92.60.251.62,NL,Netherlands,EU,Europe
156.146.56.0,156.146.57.255,SG,Singapore,AS,Asia
105.27.33.128,105.27.33.255,AE,United Arab Emirates,AS,Asia
2a09:bac5:3f5f:16a0::,2a09:bac5:3f5f:16a0:ffff:ffff:ffff:ffff,FR,France,EU,Europe
2001:4dd0:af20:2a8b::,2001:4dd0:af20:2a8c:ffff:ffff:ffff:ffff,DE,Germany,EU,Europe
2409:4066:17:d600::,2409:4066:17:d6ff:ffff:ffff:ffff:ffff,BD,Bangladesh,AS,Asia
2001:4dd0:af16:44b9::,2001:4dd0:af16:44ba:ffff:ffff:ffff:ffff,HU,Hungary,EU,Europe
