start_ip,end_ip,join_key,name,country,mcc,mnc
114.181.130.0,114.181.130.255,114.181.0.0,NTT docomo,JP,440,10
2401:4900:2641::,2401:4900:2644:ffff:ffff:ffff:ffff:ffff,2401:4900::,Airtel,IN,404,02
187.32.138.0,187.32.138.255,187.32.0.0,Algar Telecom,BR,724,32
90.30.66.0,90.30.67.255,90.30.0.0,Orange,FR,208,01
39.2.246.0,39.2.246.255,39.2.0.0,SoftBank,JP,440,20
124.122.29.0,124.122.29.255,124.122.0.0,AIS,TH,520,03
75.192.138.0,75.192.138.255,75.192.0.0,Verizon,US,310,012
104.3.178.0,104.3.178.255,104.3.0.0,AT&T,US,310,410
188.28.63.0,188.28.63.255,188.28.0.0,3,GB,234,20
2a02:bf0:3920::,2a02:bf0:392f:ffff:ffff:ffff:ffff:ffff,2a02:bf0::,MTS,BY,257,02
157.46.250.0,157.46.255.255,157.46.0.0,Jio,IN,405,840
179.137.148.0,179.137.150.255,179.137.0.0,Nextel,BR,724,39
86.209.157.0,86.209.159.255,86.209.0.0,Orange,FR,208,01
12.91.22.0,12.91.22.255,12.91.0.0,AT&T,US,310,410
109.209.148.0,109.209.148.255,109.209.0.0,Orange,FR,208,01
78.121.241.0,78.121.243.255,78.121.0.0,SFR,FR,208,09
194.51.136.0,194.51.136.255,194.51.0.0,Orange,FR,208,01
213.230.118.0,213.230.119.255,213.230.0.0,Beeline,UZ,434,04
178.139.6.0,178.139.12.255,178.139.0.0,Vodafone,ES,214,01
2a02:1205:34fd::,2a02:1205:34fd:ffff:ffff:ffff:ffff:ffff,2a02:1205::,Sunrise,CH,228,02
2600:1700:1f40::,2600:1700:1f40:ffff:ffff:ffff:ffff:ffff,2600:1700::,AT&T,US,310,410
126.32.76.0,126.32.76.255,126.32.0.0,SoftBank,JP,440,20
2607:fb90:d870::,2607:fb90:d870:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,260
109.113.23.0,109.113.26.255,109.113.0.0,Vodafone,IT,222,10
90.78.228.0,90.78.229.255,90.78.0.0,Orange,FR,208,01
12.139.44.0,12.139.45.255,12.139.0.0,AT&T,US,310,410
108.235.32.0,108.235.34.255,108.235.0.0,AT&T,US,310,410
176.163.164.0,176.163.164.255,176.163.0.0,Bouygues,FR,208,20
2409:40c4:1018::,2409:40c4:1019:ffff:ffff:ffff:ffff:ffff,2409:40c4::,Jio,IN,405,840
2001:240:240d::,2001:240:240d:ffff:ffff:ffff:ffff:ffff,2001:240::,IIJmio,JP,440,03
153.223.88.0,153.223.89.255,153.223.0.0,NTT docomo,JP,440,10
36.12.242.0,36.12.242.255,36.12.0.0,au,JP,440,50
80.15.184.0,80.15.184.255,80.15.0.0,Orange,FR,208,01
176.128.144.0,176.128.144.255,176.128.0.0,Bouygues,FR,208,20
2003:da:8f18::,2003:da:8f18:ffff:ffff:ffff:ffff:ffff,2003:da:8000::,Telekom,DE,262,01
2600:1009:104b::,2600:1009:104c:ffff:ffff:ffff:ffff:ffff,2600:1009::,Verizon,US,310,012
45.26.200.0,45.26.200.255,45.26.0.0,AT&T,US,310,410
1.77.127.0,1.77.128.255,1.77.0.0,NTT docomo,JP,440,10
104.182.151.0,104.182.152.255,104.182.0.0,AT&T,US,310,410
180.49.184.0,180.49.184.255,180.49.0.0,NTT docomo,JP,440,10
2607:fea8:e80::,2607:fea8:e80:ffff:ffff:ffff:ffff:ffff,2607:fea8::,Rogers Wireless,CA,302,720
223.185.219.0,223.185.219.255,223.185.0.0,Airtel,IN,404,02
240f:82:c9d8::,240f:82:c9d8:ffff:ffff:ffff:ffff:ffff,240f:82:c000::,au,JP,440,50
80.180.199.0,80.180.199.255,80.180.0.0,TIM,IT,222,01
180.35.181.0,180.35.190.255,180.35.0.0,NTT docomo,JP,440,10
2.228.35.0,2.228.35.255,2.228.0.0,Fastweb,IT,222,47
102.70.12.0,102.70.12.255,102.70.0.0,TNM,MW,650,01
