start_ip,end_ip,join_key,size,domain
1.0.0.1,1.0.0.1,1.0.0.0,1,one.one
1.0.0.2,1.0.0.3,1.0.0.0,2,cloudflare-dns.com
1.0.4.4,1.0.4.5,1.0.0.0,2,gtelecom.com.au
1.0.5.5,1.0.5.5,1.0.0.0,1,gtelecom.com.au
1.0.6.6,1.0.6.6,1.0.0.0,1,gtelecom.com.au
1.0.7.10,1.0.7.10,1.0.0.0,1,gtelecom.com.au
1.0.16.70,1.0.16.74,1.0.0.0,5,tepco.co.jp
1.0.16.75,1.0.16.75,1.0.0.0,1,fnj.co.jp
1.0.16.76,1.0.16.80,1.0.0.0,5,tepco.co.jp
1.0.16.107,1.0.16.110,1.0.0.0,4,tepco.co.jp
1.0.16.141,1.0.16.145,1.0.0.0,5,tepco.co.jp
1.0.16.156,1.0.16.159,1.0.0.0,4,tepco.co.jp
1.0.64.1,1.0.64.255,1.0.0.0,255,megaegg.ne.jp
1.0.65.1,1.0.65.255,1.0.0.0,255,megaegg.ne.jp
1.0.66.1,1.0.66.255,1.0.0.0,255,megaegg.ne.jp
1.0.67.1,1.0.67.255,1.0.0.0,255,megaegg.ne.jp
1.0.68.1,1.0.68.255,1.0.0.0,255,megaegg.ne.jp
1.0.69.1,1.0.69.255,1.0.0.0,255,megaegg.ne.jp
1.0.70.1,1.0.70.255,1.0.0.0,255,megaegg.ne.jp
1.0.71.1,1.0.71.255,1.0.0.0,255,megaegg.ne.jp
1.0.72.1,1.0.72.255,1.0.0.0,255,megaegg.ne.jp
1.0.73.1,1.0.73.255,1.0.0.0,255,megaegg.ne.jp
1.0.74.1,1.0.74.255,1.0.0.0,255,megaegg.ne.jp
1.0.75.1,1.0.75.255,1.0.0.0,255,megaegg.ne.jp
1.0.76.1,1.0.76.255,1.0.0.0,255,megaegg.ne.jp
1.0.77.1,1.0.77.255,1.0.0.0,255,megaegg.ne.jp
1.0.78.1,1.0.78.255,1.0.0.0,255,megaegg.ne.jp
1.0.79.1,1.0.79.255,1.0.0.0,255,megaegg.ne.jp
1.0.80.1,1.0.80.255,1.0.0.0,255,megaegg.ne.jp
1.0.81.1,1.0.81.255,1.0.0.0,255,megaegg.ne.jp
1.0.82.1,1.0.82.255,1.0.0.0,255,megaegg.ne.jp
1.0.83.1,1.0.83.255,1.0.0.0,255,megaegg.ne.jp
1.0.84.1,1.0.84.255,1.0.0.0,255,megaegg.ne.jp
1.0.85.1,1.0.85.255,1.0.0.0,255,megaegg.ne.jp
1.0.86.1,1.0.86.255,1.0.0.0,255,megaegg.ne.jp
1.0.87.1,1.0.87.255,1.0.0.0,255,megaegg.ne.jp
1.0.88.1,1.0.88.255,1.0.0.0,255,megaegg.ne.jp
1.0.89.1,1.0.89.255,1.0.0.0,255,megaegg.ne.jp
1.0.90.1,1.0.90.255,1.0.0.0,255,megaegg.ne.jp
1.0.91.1,1.0.91.255,1.0.0.0,255,megaegg.ne.jp
1.0.92.1,1.0.92.255,1.0.0.0,255,megaegg.ne.jp
1.0.93.1,1.0.93.255,1.0.0.0,255,megaegg.ne.jp
1.0.94.1,1.0.94.255,1.0.0.0,255,megaegg.ne.jp
1.0.95.1,1.0.95.255,1.0.0.0,255,megaegg.ne.jp
1.0.96.1,1.0.96.255,1.0.0.0,255,megaegg.ne.jp
1.0.97.1,1.0.97.255,1.0.0.0,255,megaegg.ne.jp
1.0.98.1,1.0.98.255,1.0.0.0,255,megaegg.ne.jp
1.0.99.1,1.0.99.255,1.0.0.0,255,megaegg.ne.jp
1.0.100.1,1.0.100.255,1.0.0.0,255,megaegg.ne.jp
1.0.101.1,1.0.101.255,1.0.0.0,255,megaegg.ne.jp
1.0.102.1,1.0.102.255,1.0.0.0,255,megaegg.ne.jp
1.0.103.1,1.0.103.255,1.0.0.0,255,megaegg.ne.jp
1.0.104.1,1.0.104.255,1.0.0.0,255,megaegg.ne.jp
1.0.105.1,1.0.105.255,1.0.0.0,255,megaegg.ne.jp
1.0.106.1,1.0.106.255,1.0.0.0,255,megaegg.ne.jp
1.0.107.1,1.0.107.255,1.0.0.0,255,megaegg.ne.jp
1.0.108.1,1.0.108.255,1.0.0.0,255,megaegg.ne.jp
1.0.109.1,1.0.109.255,1.0.0.0,255,megaegg.ne.jp
1.0.110.1,1.0.110.255,1.0.0.0,255,megaegg.ne.jp
1.0.111.1,1.0.111.255,1.0.0.0,255,megaegg.ne.jp
1.0.112.1,1.0.112.255,1.0.0.0,255,megaegg.ne.jp
1.0.113.1,1.0.113.255,1.0.0.0,255,megaegg.ne.jp
1.0.114.1,1.0.114.255,1.0.0.0,255,megaegg.ne.jp
1.0.115.1,1.0.115.255,1.0.0.0,255,megaegg.ne.jp
1.0.116.1,1.0.116.255,1.0.0.0,255,megaegg.ne.jp
1.0.117.1,1.0.117.255,1.0.0.0,255,megaegg.ne.jp
1.0.118.1,1.0.118.255,1.0.0.0,255,megaegg.ne.jp
1.0.119.1,1.0.119.255,1.0.0.0,255,megaegg.ne.jp
1.0.120.1,1.0.120.255,1.0.0.0,255,megaegg.ne.jp
1.0.121.1,1.0.121.255,1.0.0.0,255,megaegg.ne.jp
1.0.122.1,1.0.122.255,1.0.0.0,255,megaegg.ne.jp
1.0.123.1,1.0.123.255,1.0.0.0,255,megaegg.ne.jp
1.0.124.1,1.0.124.255,1.0.0.0,255,megaegg.ne.jp
1.0.125.1,1.0.125.255,1.0.0.0,255,megaegg.ne.jp
1.0.126.1,1.0.126.255,1.0.0.0,255,megaegg.ne.jp
1.0.127.1,1.0.127.255,1.0.0.0,255,megaegg.ne.jp
1.0.128.0,1.0.171.1,1.0.0.0,11010,nt-isp.net
1.0.171.2,1.0.171.2,1.0.0.0,1,ntcentral.net
1.0.171.3,1.0.171.3,1.0.0.0,1,nt-isp.net
1.0.171.5,1.0.171.14,1.0.0.0,10,nt-isp.net
1.0.171.19,1.0.171.20,1.0.0.0,2,nt-isp.net
1.0.171.22,1.0.171.25,1.0.0.0,4,nt-isp.net
1.0.171.27,1.0.171.28,1.0.0.0,2,nt-isp.net
1.0.171.30,1.0.171.31,1.0.0.0,2,nt-isp.net
1.0.171.33,1.0.171.33,1.0.0.0,1,nt-isp.net
1.0.171.37,1.0.171.38,1.0.0.0,2,nt-isp.net
1.0.171.40,1.0.171.41,1.0.0.0,2,nt-isp.net
1.0.171.43,1.0.171.45,1.0.0.0,3,nt-isp.net
1.0.171.47,1.0.171.50,1.0.0.0,4,nt-isp.net
1.0.171.53,1.0.171.53,1.0.0.0,1,nt-isp.net
1.0.171.55,1.0.171.60,1.0.0.0,6,nt-isp.net
1.0.171.63,1.0.171.66,1.0.0.0,4,nt-isp.net
1.0.171.69,1.0.171.70,1.0.0.0,2,nt-isp.net
1.0.171.72,1.0.171.79,1.0.0.0,8,nt-isp.net
1.0.171.82,1.0.171.83,1.0.0.0,2,nt-isp.net
1.0.171.85,1.0.171.88,1.0.0.0,4,nt-isp.net
1.0.171.91,1.0.171.92,1.0.0.0,2,nt-isp.net
1.0.171.94,1.0.171.94,1.0.0.0,1,nt-isp.net
1.0.171.96,1.0.171.96,1.0.0.0,1,nt-isp.net
1.0.171.98,1.0.171.98,1.0.0.0,1,nt-isp.net
