network,country,country_code,continent,continent_code,asn,as_name,as_domain
2001:4452:502:7c00::/54,China,CN,Asia,AS,AS9299,Philippine Long Distance Telephone Company,pldt.com
64.125.88.0/21,United States,US,North America,NA,AS6461,Zayo Bandwidth,zayo.com
240e:33d:8fa0::/43,China,CN,Asia,AS,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn
2a01:c23:6a00:54fc::/62,Germany,DE,Europe,EU,AS6805,Telefonica Germany GmbH & Co.OHG,telefonica.de
2001:4dd0:af0b:8fb7:cece:1c00::/87,Germany,DE,Europe,EU,AS8422,NetCologne Gesellschaft fur Telekommunikation mbH,netcologne.de
2a09:bac1:14a0:24c::/62,United States,US,North America,NA,AS13335,"Cloudflare, Inc.",cloudflare.com
2a02:a03f:a199:ea00::/56,Belgium,BE,Europe,EU,AS5432,Proximus NV,proximus.com
2a02:a03f:a4cf:a010::/60,Belgium,BE,Europe,EU,AS5432,Proximus NV,proximus.com
2405:b500:36a0:43b2::/63,United States,US,North America,NA,AS13335,"Cloudflare, Inc.",cloudflare.com
64.35.126.114/31,United States,US,North America,NA,AS2828,Verizon Business,verizonbusiness.com
2a09:bac5:41c4:18f8::/63,United States,US,North America,NA,AS13335,"Cloudflare, Inc.",cloudflare.com
37.197.66.33,Poland,PL,Europe,EU,AS1257,Tele2 Sverige AB,tele2.se
2a09:bac5:595c:400::/57,United States,US,North America,NA,AS13335,"Cloudflare, Inc.",cloudflare.com
2405:b500:1120:1740::/59,United States,US,North America,NA,AS13335,"Cloudflare, Inc.",cloudflare.com
80.239.216.48/29,Poland,PL,Europe,EU,AS1299,Arelion Sweden AB,arelion.com
57.74.126.0/23,Brazil,BR,South America,SA,AS51964,ORANGE BUSINESS SERVICES U.S. Inc.,orange.com
2a09:bac5:36d8:ebe::/64,United Kingdom,GB,Europe,EU,AS13335,"Cloudflare, Inc.",cloudflare.com
2a02:3100:1201:87b0::/60,Germany,DE,Europe,EU,AS6805,Telefonica Germany GmbH & Co.OHG,telefonica.de
199.232.226.77,United Kingdom,GB,Europe,EU,AS54113,"Fastly, Inc.",fastly.com
64.65.28.0/22,United States,US,North America,NA,AS32331,"WINS, LLC",winco.net
240e:30b:3e00::/42,China,CN,Asia,AS,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn
2a01:c23:6e00:200c::/63,Germany,DE,Europe,EU,AS6805,Telefonica Germany GmbH & Co.OHG,telefonica.de
2001:1900:2389:100::/56,United States,US,North America,NA,AS3356,"Level 3 Parent, LLC",lumen.com
2a09:bac5:112f:400::/55,United States,US,North America,NA,AS13335,"Cloudflare, Inc.",cloudflare.com
41.1.0.0/16,South Africa,ZA,Africa,AF,AS29975,Vodacom,vodacom.com
240e:47f:d008:2000::/51,Thailand,TH,Asia,AS,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn
166.49.154.0/24,Germany,DE,Europe,EU,AS5400,British Telecommunications PLC,bt.com
2001:978:2:22:0:400::/86,United Kingdom,GB,Europe,EU,AS174,Cogent Communications,cogentco.com
2a09:bac5:4de9:6d3::/64,United States,US,North America,NA,AS13335,"Cloudflare, Inc.",cloudflare.com
2409:895a:c0a7:8000::/49,Macao,MO,Asia,AS,AS56040,China Mobile communications corporation,chinamobile.com
2a04:4e41:4043:c000::/52,Dominican Republic,DO,North America,NA,AS54113,"Fastly, Inc.",fastly.com
2605:59c8:680b:d911::/64,Dominican Republic,DO,North America,NA,AS14593,Space Exploration Technologies Corporation,spacex.com
2a02:a474:ed2::/48,Netherlands,NL,Europe,EU,AS1136,KPN B.V.,kpn.com
2a03:c22:8000::/37,United States,US,North America,NA,AS50825,UVT Internet s.r.o.,uvtnet.cz
2a09:bac5:41ad:2500::/56,United States,US,North America,NA,AS13335,"Cloudflare, Inc.",cloudflare.com
94.31.61.152/31,Germany,DE,Europe,EU,AS6461,Zayo Bandwidth,zayo.com
240e:47c:a848:2000::/51,Thailand,TH,Asia,AS,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn
2001:470:1f09:19c0::/60,United States,US,North America,NA,AS6939,Hurricane Electric LLC,he.net
240e:338:a100::/40,China,CN,Asia,AS,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn
2001:470:84f3::/48,United States,US,North America,NA,AS6939,Hurricane Electric LLC,he.net
176.31.197.128/30,Belgium,BE,Europe,EU,AS16276,OVH SAS,ovhcloud.com
2409:8a55:70a9:864::/62,China,CN,Asia,AS,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn
104.135.240.47,Switzerland,CH,Europe,EU,AS36383,Google LLC,google.com
72.14.220.78,Hong Kong,HK,Asia,AS,AS15169,Google LLC,google.com
172.224.119.0/24,United States,US,North America,NA,AS36183,"Akamai Technologies, Inc.",akamai.com
240f:10b:a008::/46,Japan,JP,Asia,AS,AS2516,KDDI CORPORATION,kddi.com
2a01:c22:c200:482a::/64,Hungary,HU,Europe,EU,AS6805,Telefonica Germany GmbH & Co.OHG,telefonica.de
212.157.142.0/28,France,FR,Europe,EU,AS702,Verizon Business,verizonbusiness.com
2a01:c22:c201:21a8::/62,Germany,DE,Europe,EU,AS6805,Telefonica Germany GmbH & Co.OHG,telefonica.de
2a09:bac5:4cec:2370::/60,United States,US,North America,NA,AS13335,"Cloudflare, Inc.",cloudflare.com
2a02:a03f:a5a4:b340::/58,Belgium,BE,Europe,EU,AS5432,Proximus NV,proximus.com
63.218.68.0/22,United States,US,North America,NA,AS3491,"PCCW Global, Inc.",pccwglobal.com
2409:895a:82a8::/49,China,CN,Asia,AS,AS56040,China Mobile communications corporation,chinamobile.com
24.152.112.0/23,Brazil,BR,South America,SA,AS270504,Gera-Net Provedor de Acesso,geranetprovedor.com.br
64.10.0.0/24,United States,US,North America,NA,AS701,Verizon Business,verizonbusiness.com
2a02:a03f:a53d:4708::/61,Germany,DE,Europe,EU,AS5432,Proximus NV,proximus.com
