ip,ssid,category,name,brand,latitude,longitude
1.0.75.3,RANDOR-WiFi704_5g,hotel,Randor Hotel Hiroshima Prestage,,34.3937,132.4766
1.0.75.12,RANDOR-WiFi203,hotel,Randor Hotel Hiroshima Prestage,,34.3937,132.4766
1.0.136.23,BKR002_2.4G,hotel,Ban Krut Resort,,11.3582,99.5719
1.0.140.55,Rimnan4,hotel,Ruean Rim Nan เรือนริมน่าน,,16.225,100.4188
1.0.141.14,API Property fl1,real_estate,API Property Pattaya,,12.8827,100.8863
1.0.141.36,Sunshine Vista,hotel,Sunshine Vista,,12.9452,100.8876
1.0.141.43,Chaletcustomer 2.4GHz,hotel,Chalet Guesthouse,,12.9368,100.8845
1.0.141.45,Lisaguesthouse,hotel,Lisa's Guesthouse,,12.8873,100.8802
1.0.141.51,Sunshine Vista,hotel,Sunshine Vista,,12.9452,100.8876
1.0.141.57,PEGGYS COVE,hotel,Peggy's Cove Resort,,12.6051,101.8753
1.0.141.85,JH05 2.4Ghz,hotel,Jomtien hostel,,12.8836,100.8836
1.0.141.89,Chaletcustomer 2.4GHz,hotel,Chalet Guesthouse,,12.9368,100.8845
1.0.141.130,Chaletcustomer 2.4GHz,hotel,Chalet Guesthouse,,12.9368,100.8845
1.0.141.137,Sunshine Vista,hotel,Sunshine Vista,,12.9452,100.8876
1.0.141.145,STARHOTEL,hotel,Star Convention Hotel Rayong,Novotel,12.6863,101.2706
1.0.141.157,JH01 (2.4G),hotel,Jomtien hostel,,12.8836,100.8836
1.0.141.169,Sunshine Vista,hotel,Sunshine Vista,,12.9452,100.8876
1.0.141.214,Lisaguesthouse,hotel,Lisa's Guesthouse,,12.8873,100.8802
1.0.141.222,Sunshine Vista,hotel,Sunshine Vista,,12.9452,100.8876
1.0.141.228,Lisaguesthouse 5G,hotel,Lisa's Guesthouse,,12.8873,100.8802
1.0.141.242,STARHOTEL,hotel,Star Convention Hotel Rayong,Novotel,12.6863,101.2706
1.0.141.253,STARHOTEL,hotel,Star Convention Hotel Rayong,Novotel,12.6863,101.2706
1.0.145.132,Tong Chang Resort,hotel,Tong Chang Resort,,10.5338,99.1222
1.0.146.61,md_pizza2,restaurant,MD Pizza and Thai Food,,10.5741,99.2757
1.0.147.37,Kee Guest WiFi,personal_care,Kee Spa,,7.8953,98.2971
1.0.147.145,Kohyaoyaiseabreeze_5G,hotel,Koh Yao Yai Sea Breeze House,,8.0535,98.5982
1.0.148.108,RanongGable,hotel,Ranong Gable Hotel,,9.9706,98.6434
1.0.149.229,Beach Mountain Club,restaurant,Beach Mountain Club Cafe & Restaurant Kanom,,9.1221,99.8928
1.0.150.108,SmileResort Bldg4,hotel,Smile Resort - Thungsong,,8.1588,99.6485
1.0.151.1,Khanompoolvilla,hotel,Khanom Poolvilla,,9.2994,99.835
1.0.152.96,Kohyaoyaiseabreeze_5G,hotel,Koh Yao Yai Sea Breeze House,,8.0535,98.5982
1.0.153.10,King Power,retail,King Power Duty Free,,8.1087,98.3062
1.0.154.40,kk_park,hotel,K.K.Park Resort,,8.8907,98.658
1.0.154.68,Koh Yao Candy House.2,hotel,Koh Yao Candy House,,8.0531,98.5973
1.0.157.67,sasitararesidence_Lobby_5G,hotel,Sasitara Residence,,9.5449,100.0732
1.0.159.83,Tarn_restaurant,restaurant,Tarn Restaurant,,8.6859,98.2524
1.0.159.112,NavaNakhon,retail,LML Nakhon sri Thammarat,,8.4427,99.9809
1.0.160.3,Magical Villa-10,hotel,Magical Mountain View Resort,,8.9018,98.6251
1.0.160.38,MaMa jin1_2.4G,restaurant,Mama Jin Restaurant,,7.8446,98.3004
1.0.160.84,Playna Resort office 2.4G,hotel,ปรายนา รีสอร์ท,,6.7529,100.0395
1.0.160.153,ME CHALONG2.4G,retail,Robinson Lifestyle Chalong,Robinson Department Store,7.8476,98.35
1.0.160.216,Manao Tree,hotel,Manao Tree Villa,,7.5666,99.0372
1.0.161.62,TOT_SNI_F3,retail,NT Suratthani,,9.1159,99.2796
1.0.161.225,MAEMANEE,restaurant,Maemanee,,7.8902,98.2933
1.0.162.25,Free WiFi By Lomprayah,restaurant,Lomprayah,,9.5838,99.9837
1.0.162.65,Mookanda_Residence,hotel,Mookanda Residence Ao Nang,,8.0412,98.8385
1.0.162.213,Mukanda_Residence,hotel,Mookanda Residence Ao Nang,,8.0412,98.8385
1.0.163.48,Krua_maungkhon,restaurant,ครัวเมืองคอน กระบี่,,8.0812,98.903
1.0.163.80,WIFI Guest - Kan Eang Restaurant,restaurant,Kan Eang Seafood,,7.8199,98.3444
1.0.163.176,junglevillage1,hotel,Jungle Village Bungalows,,8.0473,98.8392
1.0.164.12,Tubkaak,hotel,The Tubkaak Krabi Boutique Resort,,8.0914,98.7477
1.0.167.173,Cozy Guesthouse_5G,restaurant,Cozy Restaurant,,7.5985,99.0361
1.0.167.248,Siripornchai 1-2,hotel,Baan Siriponchai,,8.8651,98.3416
1.0.169.66,HINTOK-WIFI,hotel,Hintok River Camp @ Kanchanaburi,,14.3535,98.9296
1.0.169.70,HINTOK-WIFI,hotel,Hintok River Camp @ Kanchanaburi,,14.3535,98.9296
1.0.169.209,ITFOOD00,business_services,ไอ.ที. ฟูดส์อินดัสทรีส์ จำกัด,,13.5446,100.2175
1.0.169.235,Grace-WiFi 2.4GHz,restaurant,The Grace,,13.4005,99.9802
1.0.170.22,Toyota Free Wifi,car_dealer,Toyota,Toyota,14.5785,100.4872
