network,city,region,region_code,country,country_code,continent,continent_code,latitude,longitude,timezone,postal_code,asn,as_name,as_domain,as_type,is_anonymous,is_anycast,is_hosting,is_mobile,is_satellite
1.0.243.136/30,Nakhon Si Thammarat,Nakhon Si Thammarat,80,Thailand,TH,Asia,AS,8.43333,99.96667,Asia/Bangkok,80140,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.20.151.53,Bangkok,Bangkok,10,Thailand,TH,Asia,AS,13.75398,100.50144,Asia/Bangkok,10200,AS23969,TOT Public Company Limited,ntplc.co.th,isp,true,false,false,false,false
1.179.133.219,Ban Bang Kadi,Pathum Thani,13,Thailand,TH,Asia,AS,13.99904,100.54962,Asia/Bangkok,12160,AS131293,TOT Public Company Limited,totidc.net,isp,false,false,false,false,false
1.20.162.210/31,Huai Thap Than,Si Sa Ket,33,Thailand,TH,Asia,AS,15.05333,104.02754,Asia/Bangkok,33210,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.122.212.48/28,Quinns Rocks,Western Australia,WA,Australia,AU,Oceania,OC,-31.67379,115.70372,Australia/Perth,6030,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.2.180.108/30,Phuket,Phuket,83,Thailand,TH,Asia,AS,7.89059,98.3981,Asia/Bangkok,83120,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.141.195.192/26,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.177.9.0/24,Andong,Gyeongsangbuk-do,47,South Korea,KR,Asia,AS,36.56636,128.72275,Asia/Seoul,36629,AS17577,LG HelloVision Corp.,lghellovision.net,isp,false,false,false,false,false
1.0.164.8/30,Nakhon Si Thammarat,Nakhon Si Thammarat,80,Thailand,TH,Asia,AS,8.43333,99.96667,Asia/Bangkok,80140,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.112.73.48/28,Tokyo,Tokyo,13,Japan,JP,Asia,AS,35.6895,139.69171,Asia/Tokyo,101-8656,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
1.20.246.66/31,Koh Tao,Surat Thani,84,Thailand,TH,Asia,AS,10.09808,99.83809,Asia/Bangkok,86220,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.141.139.0/25,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.115.81.172/31,Kawasaki,Kanagawa,14,Japan,JP,Asia,AS,35.52056,139.71722,Asia/Tokyo,205-0021,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
