network,hosting,proxy,relay,tor,vpn,service,first_seen,last_seen,confidence,coverage,census,census_ports,device_activity,inferred,vpn_config,whois
2a07:a880:4602:10a1:be80:8aaa:d000:0/100,true,false,false,false,false,,,,,,,,,,,
62.133.63.92/30,true,false,false,false,false,,,,,,,,,,,
3.87.75.0/29,true,false,false,false,false,,,,,,,,,,,
3.230.105.96,true,false,false,false,true,,2024-11-30,2024-11-30,1,1,true,1194,false,false,false,false
82.141.234.131,false,false,false,false,true,,2024-11-29,2025-01-11,1,0.31,true,500,false,true,false,false
69.162.236.74/31,false,false,false,false,true,,2024-11-29,2025-01-11,1,0.5,true,500,false,true,false,false
2a07:a880:4603:1078:700c:8000::/85,true,false,false,false,false,,,,,,,,,,,
2a07:a880:4603:1062:780:af72:a942:2c00/118,true,false,false,false,false,,,,,,,,,,,
2a07:a880:4602:1098:eb1c:681f:a800:0/102,true,false,false,false,false,,,,,,,,,,,
2a07:a880:4601:10c1:b85a:873:22b3:4440/122,true,false,false,false,false,,,,,,,,,,,
2a07:a880:4604:1031:b00e::/81,true,false,false,false,false,,,,,,,,,,,
2a07:a880:4602:1038:e69f:8b0d:350a:fca0/123,true,false,false,false,false,,,,,,,,,,,
2a07:a880:4602:1038:43e7:25f2:308:9486/127,true,false,false,false,false,,,,,,,,,,,
115.163.149.53,false,false,false,false,true,,2024-11-30,2024-12-05,1,1,true,500,false,false,false,false
2a07:a880:4603:1072:436e:62d8:d98f:fb4/126,true,false,false,false,false,,,,,,,,,,,
49.255.209.239,true,false,false,false,false,,,,,,,,,,,
46.142.237.200,false,false,false,false,true,,2024-12-18,2024-12-26,1,1,true,1194,false,false,false,false
38.91.100.29,true,false,false,false,true,,2024-12-28,2025-01-20,2,1,false,,true,false,false,false
2a07:a880:4603:10b1:514:ded:fdb:2080/123,true,false,false,false,false,,,,,,,,,,,
178.174.35.250,false,false,false,false,true,,2024-11-29,2025-01-11,1,1,true,500,false,false,false,false
46.161.225.118,false,false,false,false,true,,2024-12-05,2024-12-05,1,1,true,500,false,false,false,false
2a07:a880:3101:1042:b2b9:aa3f:f140:0/106,true,false,false,false,false,,,,,,,,,,,
2a07:a880:4603:1092:fcc5:d2b8:9442:0/111,true,false,false,false,false,,,,,,,,,,,
2a07:a880:4601:1128:e488:fe1d:bd2b:f1ac,true,false,false,false,false,,,,,,,,,,,
193.68.68.64/27,true,false,false,false,false,,,,,,,,,,,
194.182.64.0/27,true,false,false,false,false,,,,,,,,,,,
2a07:a880:4603:10a8:69f4:66e0:9666:0/111,true,false,false,false,false,,,,,,,,,,,
2a07:a880:4601:1058:5327:59db:15bc:e6b8/125,true,false,false,false,false,,,,,,,,,,,
2a07:a880:4601:1091:c3b7:71a0::/92,true,false,false,false,false,,,,,,,,,,,
72.53.209.202,false,false,false,false,true,,2024-11-30,2025-01-10,1,1,true,500,false,false,false,false
2a07:a880:4601:10b8:df1b:1a00::/89,true,false,false,false,false,,,,,,,,,,,
115.206.152.34/31,false,false,false,false,true,,2024-11-29,2025-01-11,1,0.25,true,"1194,500",false,true,false,false
222.134.206.228,false,false,false,false,true,,2024-11-29,2024-12-26,1,1,true,500,false,false,false,false
27.156.166.99,false,false,false,false,true,,2024-12-11,2024-12-11,1,1,true,500,false,false,false,false
167.172.188.128/30,true,false,false,false,false,,,,,,,,,,,
89.25.223.120/31,true,false,false,false,false,,,,,,,,,,,
59.124.83.208,false,false,false,false,true,,2024-11-29,2025-01-10,1,1,true,500,false,false,false,false
189.141.190.9,false,false,false,false,true,,2024-12-28,2025-01-23,1,0.25,true,500,true,true,false,false
2001:ac8:20:3d00:1018:6634:1600:0/105,true,false,false,false,false,,,,,,,,,,,
46.151.205.111,false,false,false,false,true,,2024-11-30,2025-01-10,1,1,true,1194,false,false,false,false
110.41.86.17,true,false,false,false,true,,2024-11-30,2025-01-11,1,1,true,500,false,false,false,false
82.180.51.235,false,false,false,false,true,,2024-11-30,2025-01-10,1,1,true,500,false,false,false,false
