start_ip,end_ip,hosting,proxy,tor,vpn,vpn_name,anycast,census,device_activity,whois,vpn_config,census_port,relay
213.187.10.214,213.187.10.230,true,,,,,false,false,false,false,false,,
91.193.58.224,91.193.58.224,true,true,,,,true,false,false,false,false,,
182.44.72.60,182.44.72.60,,true,,,,false,false,false,false,false,,
101.126.45.40,101.126.45.40,true,true,,,,false,false,false,false,false,,
185.173.129.185,185.173.129.224,true,,,,,false,false,false,false,false,,
197.155.92.206,197.155.92.206,,true,,,,false,false,false,false,false,,
105.27.195.195,105.27.196.9,true,,,,,false,false,false,false,false,,
52.199.202.15,52.199.202.48,true,,,,,false,false,false,false,false,,
115.190.80.156,115.190.80.156,true,true,,,,false,false,false,false,false,,
195.133.9.150,195.133.9.150,true,true,,,,false,false,false,false,false,,
3.255.129.59,3.255.135.81,true,,,,,false,false,false,false,false,,
4.233.66.10,4.233.66.31,true,,,,,false,false,false,false,false,,
95.67.29.33,95.67.29.123,true,,,,,false,false,false,false,false,,
185.191.121.72,185.191.121.80,true,,,,,false,false,false,false,false,,
220.152.125.221,220.152.127.255,true,,,,,false,false,false,false,false,,
80.249.92.36,80.249.92.37,true,,,,,false,false,false,false,false,,
195.133.238.87,195.133.238.106,true,,,,,false,false,false,false,false,,
94.247.25.163,94.247.30.173,true,,,,,false,false,false,false,false,,
14.186.154.215,14.186.154.215,,true,,,,false,false,false,false,false,,
128.1.145.175,128.1.145.175,true,true,,,,false,false,false,false,false,,
195.69.240.0,195.69.243.255,true,,,,,false,false,false,false,false,,
77.75.185.147,77.75.186.4,true,,,,,false,false,false,false,false,,
172.67.197.72,172.67.197.86,true,,,,,true,false,false,false,false,,
137.164.87.0,137.164.87.255,true,,,,,false,false,false,false,false,,
146.103.66.109,146.103.66.195,true,true,,,,false,false,false,false,false,,
67.200.187.199,67.200.188.1,true,,,,,false,false,false,false,false,,
177.190.198.95,177.190.198.102,true,,,,,false,false,false,false,false,,
5.44.104.85,5.44.105.89,true,,,,,false,false,false,false,false,,
218.245.102.31,218.245.102.45,true,,,,,false,false,false,false,false,,
119.28.133.251,119.28.134.11,true,,,,,false,false,false,false,false,,
104.207.32.180,104.207.32.181,true,,,,,false,false,false,false,false,,
150.223.53.195,150.223.54.13,true,,,,,false,false,false,false,false,,
114.116.204.24,114.116.204.27,true,,,,,false,false,false,false,false,,
149.202.105.154,149.202.105.233,true,,,,,false,false,false,false,false,,
175.4.24.212,175.4.24.214,,true,,,,false,false,false,false,false,,
31.187.67.23,31.187.67.24,true,,,,,false,false,false,false,false,,
82.223.242.151,82.223.243.249,true,,,,,false,false,false,false,false,,
8.218.37.195,8.218.37.214,true,,,,,false,false,false,false,false,,
54.178.115.201,54.178.117.35,true,,,,,false,false,false,false,false,,
47.115.27.2,47.115.27.2,true,true,,,,false,false,false,false,false,,
77.74.124.176,77.74.124.196,true,,,,,false,false,false,false,false,,
52.58.61.43,52.58.62.79,true,,,,,false,false,false,false,false,,
