network,hosting,proxy,tor,relay,vpn,service
1.0.0.0/31,true,false,false,false,false,
1.0.0.2,true,false,false,false,true,
1.0.0.3,true,false,false,false,false,
1.0.0.4/30,true,false,false,false,false,
1.0.0.8/29,true,false,false,false,false,
1.0.0.16/28,true,false,false,false,false,
1.0.0.32/27,true,false,false,false,false,
1.0.0.64/26,true,false,false,false,false,
1.0.0.128/25,true,false,false,false,false,
1.0.7.230/31,false,false,false,false,true,
1.0.7.232,false,false,false,false,true,
1.0.7.242/31,false,false,false,false,true,
1.0.7.244,false,false,false,false,true,
1.0.64.181,false,false,false,false,true,
1.0.65.6,false,false,false,false,true,
1.0.66.230/31,false,false,false,false,true,
1.0.67.14,false,false,false,false,true,
1.0.67.62,false,false,false,false,true,
1.0.67.165,false,false,false,false,true,
1.0.70.187,false,false,false,false,true,
1.0.72.64,false,false,false,false,true,
1.0.73.252,false,false,false,false,true,
1.0.74.37,false,false,false,false,true,
1.0.74.225,false,false,false,false,true,
1.0.75.12,false,false,false,false,true,
1.0.77.119,false,false,false,false,true,
1.0.77.179,false,false,false,false,true,
1.0.79.48,false,false,false,false,true,
1.0.79.154,false,false,false,false,true,
1.0.80.52,false,false,false,false,true,
1.0.81.77,false,false,false,false,true,
1.0.81.191,false,false,false,false,true,
1.0.82.17,false,false,false,false,true,
1.0.82.158,false,false,false,false,true,
1.0.82.183,false,false,false,false,true,
1.0.83.102,false,false,false,false,true,
1.0.83.178,false,false,false,false,true,
1.0.84.44,false,false,false,false,true,
1.0.84.209,false,false,false,false,true,
1.0.85.12,false,false,false,false,true,
1.0.85.175,false,false,false,false,true,
1.0.87.196,false,false,false,false,true,
1.0.88.38,false,false,false,false,true,
1.0.88.53,false,false,false,false,true,
1.0.88.54,false,false,false,false,true,
1.0.88.250,false,false,false,false,true,
1.0.89.119,false,false,false,false,true,
1.0.89.202,false,false,false,false,true,
1.0.90.125,false,false,false,false,true,
1.0.91.26,false,false,false,false,true,
1.0.91.121,false,false,false,false,true,
1.0.91.152,false,false,false,false,true,
1.0.91.249,false,false,false,false,true,
1.0.92.22,false,false,false,false,true,
1.0.92.68,false,false,false,false,true,
1.0.94.23,false,false,false,false,true,
1.0.95.35,false,false,false,false,true,
1.0.95.237,false,false,false,false,true,
1.0.96.189,false,false,false,false,true,
1.0.97.63,false,false,false,false,true,
1.0.97.130,false,false,false,false,true,
1.0.97.138,false,false,false,false,true,
1.0.97.182,false,false,false,false,true,
1.0.98.6,false,false,false,false,true,
1.0.98.175,false,false,false,false,true,
1.0.99.10,false,false,false,false,true,
1.0.99.105,false,false,false,false,true,
1.0.100.131,false,false,false,false,true,
1.0.100.152,false,false,false,false,true,
1.0.101.135,false,false,false,false,true,
1.0.101.167,false,false,false,false,true,
1.0.101.185,false,false,false,false,true,
1.0.103.88,false,false,false,false,true,
1.0.105.53,false,false,false,false,true,
1.0.105.78/31,false,false,false,false,true,
1.0.105.88,false,false,false,false,true,
1.0.105.227,false,false,false,false,true,
1.0.106.45,false,false,false,false,true,
1.0.106.67,false,false,false,false,true,
1.0.106.129,false,false,false,false,true,
1.0.106.132,false,false,false,false,true,
1.0.106.147,false,false,false,false,true,
1.0.106.166,false,false,false,false,true,
1.0.106.199,false,false,false,false,true,
1.0.106.230,false,false,false,false,true,
1.0.107.104,false,false,false,false,true,
1.0.107.129,false,false,false,false,true,
1.0.107.217,false,false,false,false,true,
1.0.108.4,false,false,false,false,true,
1.0.108.20,false,false,false,false,true,
1.0.109.9,false,false,false,false,true,
1.0.109.28,false,false,false,false,true,
1.0.110.93,false,false,false,false,true,
1.0.111.22,false,false,false,false,true,
1.0.111.57,false,false,false,false,true,
1.0.112.213,false,false,false,false,true,
1.0.113.204,false,false,false,false,true,
1.0.114.191,false,false,false,false,true,
1.0.115.62,false,false,false,false,true,
1.0.115.164,false,false,false,false,true,
1.0.116.52,false,false,false,false,true,
