range,id,name,descr,host,email,abuse,domain,country,city,street,postal,updated,imported
63.170.68.0/23,NET4-3FAA440017,TELEBARBADOS INC,NET4-3FAA440017,rwhois.cogentco.com:4321,,,telebarbados.com,,ST MICHAEL,CGI TOWER  WARRENS,,,2026-07-26 07:41:08.041029
65.172.24.0/22,NET4-41AC180016,TELEBARBADOS INC,NET4-41AC180016,rwhois.cogentco.com:4321,,,telebarbados.com,,ST MICHAEL,CGI TOWER  WARRENS,,,2026-07-26 07:41:08.041029
63.175.156.0/22,NET4-3FAF9C0016,TELEBARBADOS INC,NET4-3FAF9C0016,rwhois.cogentco.com:4321,,,telebarbados.com,,ST MICHAEL,CGI TOWER  WARRENS,,,2026-07-26 07:41:08.041029
154.18.67.0/24,NET4-9A12430018,Toshiba I.S. Corporation,NET4-9A12430018,rwhois.cogentco.com:4321,,,toshiba.co.jp,,TOKYO,3-8-21 HIGASHI SHINAGAWA KU,140-0002,,2026-07-26 07:41:08.041029
38.143.192.0/19,NET4-268FC00013,OXIO,NET4-268FC00013,rwhois.cogentco.com:4321,,,oxio.ca,CA,VANCOUVER,555 HASTINGS STREET WEST,V6B 1M1,,2026-07-26 07:41:08.041029
38.145.85.0/24,NET4-2691550018,OXIO,NET4-2691550018,rwhois.cogentco.com:4321,,,oxio.ca,CA,VANCOUVER,555 HASTINGS STREET WEST,V6B 1M1,,2026-07-26 07:41:08.041029
38.55.64.0/21,NET4-2637400015,OXIO,NET4-2637400015,rwhois.cogentco.com:4321,,,oxio.ca,CA,VANCOUVER,555 HASTINGS STREET WEST,V6B 1M1,,2026-07-26 07:41:08.041029
154.22.96.0/19,NET4-9A16600013,OXIO,NET4-9A16600013,rwhois.cogentco.com:4321,,,oxio.ca,CA,VANCOUVER,555 HASTINGS STREET WEST,V6B 1M1,,2026-07-26 07:41:08.041029
154.60.226.0/24,NET4-9A3CE20018,Cloudfira,NET4-9A3CE20018,rwhois.cogentco.com:4321,,,cloudfira.com,ES,Paterna (Valencia),"Villa de Madrid, 44 Pol. Ind. Fuente del Jarro",46988,,2026-07-26 07:41:08.041029
154.21.10.0/23,NET4-9A150A0017,"Webshare Software, Company",NET4-9A150A0017,rwhois.cogentco.com:4321,,,webshare.io,ES,SAN SEBASTIAN DE LOS REYES,"SUBESTACION ELECTRICA DE REE, PD MAJUELOS NUEVOS",28700,,2026-07-26 07:41:08.041029
81.2.150.0/23,NET4-5102960017,Flex Network,NET4-5102960017,rwhois.cogentco.com:4321,,,flex.network,FR,SAINT-DENIS,114 RUE AMBROISE CROIZAT,93200,,2026-07-26 07:41:08.041029
38.106.187.0/24,NET4-266ABB0018,PT Maintek Juara Intisolusi,NET4-266ABB0018,rwhois.cogentco.com:4321,,,maint.com.ec,ID,TANGERANG,23 JALAN RAJEG GARDENIA,15540,,2026-07-26 07:41:08.041029
38.188.203.0/24,NET4-26BCCB0018,OPTO COMMUNICATIONS PRIVATE LIMITED,NET4-26BCCB0018,rwhois.cogentco.com:4321,,,opto.net.in,IN,BENGALURU,35 4TH CROSS NAVYA NAGAR ROAD,560064,,2026-07-26 07:41:08.041029
206.84.224.0/20,NET4-CE54E00014,Vortex Netsol Private Limited,NET4-CE54E00014,rwhois.cogentco.com:4321,,,vnpl.co.in,IN,Mumbai,"Mandhor Heights, Plot No. 153, Jawahar Nagar, Goregaon West",400104,,2026-07-26 07:41:08.041029
38.159.122.0/23,NET4-269F7A0017,Mieux Technologies,NET4-269F7A0017,rwhois.cogentco.com:4321,,,mieuxtechnologies.com,IN,NEW DELHI,A -62 OKHLA PHASE II,110020,,2026-07-26 07:41:08.041029
209.146.44.0/22,NET4-D1922C0016,PT Aplikanusa Lintasarta,NET4-D1922C0016,rwhois.cogentco.com:4321,,,lintasarta.net,SG,SINGAPORE,23 TAI SENG DRIVE,535224,,2026-07-26 07:41:08.041029
154.18.238.0/24,NET4-9A12EE0018,Enjoyvc Cloud Group Limited,NET4-9A12EE0018,rwhois.cogentco.com:4321,,,enjoyvc.com,SG,SINGAPORE,15 PIONEER WALK,627753,,2026-07-26 07:41:08.041029
154.51.41.0/24,NET4-9A33290018,Easy Link LLC,NET4-9A33290018,rwhois.cogentco.com:4321,,,easylinkserver.com,US,EL SEGUNDO,445 NORTH DOUGLAS STREET,90245,,2026-07-26 07:41:08.041029
38.76.148.0/22,NET4-264C940016,NetLab,NET4-264C940016,rwhois.cogentco.com:4321,,,as979.net,US,LOS ANGELES,1200 WEST 7TH STREET,90017,,2026-07-26 07:41:08.041029
38.100.63.0/24,NET4-26643F0018,"NewConnect, LLC",NET4-26643F0018,rwhois.cogentco.com:4321,,,gonewconnect.com,US,WASHINGTON,1275 K STREET NORTHWEST,20005,,2026-07-26 07:41:08.041029
