id,name,country,org_id,created,updated,source,raw
AS64477,Uslugi Komputerowe Slawomir Sokola,PL,ORG-UKSS1-RIPE,2016-08-10,2024-11-14,ripe,aut-num:        AS64477\nas-name:        PL-SOKOLA-AS\norg:            ORG-UKSS1-RIPE\nimport:         from AS60695 accept ANY\nexport:         to AS60695 announce AS64477\nexport:         to AS201054 announce AS64477\nexport:         To AS50607 announce AS64477\nimport:         from AS50607 accept ANY\nimport:         from AS201054 accept ANY\nimport:         from AS5617 accept ANY\nexport:         to AS5617 announce AS64477\nadmin-c:        TSLA1-RIPE\nadmin-c:        UKSC1-RIPE\ntech-c:         TSLA1-RIPE\ntech-c:         UKSC1-RIPE\nstatus:         ASSIGNED\nmnt-by:         RIPE-NCC-END-MNT\nmnt-by:         TSLA1-MNT\ncreated:        2016-08-10T14:41:40Z\nlast-modified:  2024-11-14T12:43:21Z\nsource:         RIPE\nabuse-email:    slaweksokola@wp.pl\nabuse-c:        UKSC1-RIPE\nabuse-org:      ORG-UKSS1-RIPE\n\norganisation:   ORG-UKSS1-RIPE\norg-name:       Uslugi Komputerowe Slawomir Sokola\ncountry:        PL\norg-type:       OTHER\naddress:        Zendek Glówna 43\naddress:        42-625 Ozarowice\naddress:        POLAND\nphone:          +48 508150179\ne-mail:         slaweksokola@wp.pl\nlanguage:       PL\nadmin-c:        UKSC1-RIPE\ntech-c:         UKSC1-RIPE\nabuse-c:        UKSC1-RIPE\nmnt-ref:        NETRONIK-MNT\nmnt-by:         NETRONIK-MNT\nmnt-by:         TSLA1-MNT\ncreated:        2016-08-09T14:07:06Z\nlast-modified:  2022-12-01T17:29:06Z\nsource:         RIPE\n\nrole:           Uslugi Komputerowe Sokola Contacts\naddress:        Zendek ul. Glówna 43\naddress:        42-625 Ozarowice POLAND\nphone:          +48508150179\ne-mail:         slaweksokola@wp.pl\nnic-hdl:        UKSC1-RIPE\nabuse-mailbox:  slaweksokola@wp.pl\nmnt-by:         NETRONIK-MNT\nmnt-by:         TSLA1-MNT\ncreated:        2016-08-09T14:04:16Z\nlast-modified:  2016-08-10T21:46:05Z\nsource:         RIPE\n\nrole:           Uslugi Komputerowe Sokola Contacts\naddress:        Zendek ul. Glówna 43\naddress:        42-625 Ozarowice POLAND\nphone:          +48508150179\ne-mail:         slaweksokola@wp.pl\nnic-hdl:        UKSC1-RIPE\nabuse-mailbox:  slaweksokola@wp.pl\nmnt-by:         NETRONIK-MNT\nmnt-by:         TSLA1-MNT\ncreated:        2016-08-09T14:04:16Z\nlast-modified:  2016-08-10T21:46:05Z\nsource:         RIPE
AS400622,"OpticWise, Inc.",US,OPTIC-21,2022-04-11,2022-05-07,arin,"ASHandle:       AS400622\nOrgID:          OPTIC-21\nASName:         OPTICWISE-US\nASNumber:       400622\nRegDate:        2022-04-11\nComment:        https://opticwise.com\nUpdated:        2022-05-07\nSource:         ARIN\n\n\nOrgID:          OPTIC-21\nOrgName:        OpticWise, Inc.\nCanAllocate:    \nStreet:         PO Box 1134\nCity:           Golden\nState/Prov:     CO\nCountry:        US\nPostalCode:     80402\nRegDate:        2016-09-08\nUpdated:        2022-05-07\nOrgAdminHandle: IPADM902-ARIN\nOrgTechHandle:  HALLD114-ARIN\nOrgTechHandle:  IPADM902-ARIN\nOrgAbuseHandle: DOUGL123-ARIN\nOrgAbuseHandle: IPADM902-ARIN\nOrgNOCHandle:   IPADM902-ARIN\nOrgRoutingHandle:   IPADM902-ARIN\nOrgDNSHandle:   IPADM902-ARIN\nOrgDNSHandle:   KINGD17-ARIN\nSource:         ARIN\n\n\nPOCHandle:      HALLD114-ARIN\nIsRole:         N\nLastName:       Hall\nFirstName:      Drew\nStreet:         PO Box 1134\nCity:           Golden\nState/Prov:     CO\nCountry:        US\nPostalCode:     80402\nRegDate:        2022-02-03\nUpdated:        2025-05-06\nOfficePhone:    +1-888-678-4294\nMailbox:        drew.hall@opticwise.com\nSource:         ARIN\n\n\nPOCHandle:      IPADM902-ARIN\nIsRole:         Y\nLastName:       IP Administrator\nFirstName:      \nStreet:         PO Box 1134\nCity:           Golden\nState/Prov:     CO\nCountry:        US\nPostalCode:     80401\nRegDate:        2021-08-31\nUpdated:        2025-04-30\nOfficePhone:    +1-888-678-4294\nMailbox:        ipadmin@opticwise.com\nSource:         ARIN\n\n\nPOCHandle:      DOUGL123-ARIN\nIsRole:         N\nLastName:       DOUGLAS\nFirstName:      BILL\nStreet:         PO Box 1134\nCity:           Golden\nState/Prov:     CO\nCountry:        US\nPostalCode:     80401\nRegDate:        2016-09-08\nUpdated:        2025-02-02\nOfficePhone:    +1-888-678-4294\nMailbox:        bill.douglas@opticwise.com\nSource:         ARIN\n"
AS18391,NETPLUZ HOLDINGS PRIVATE LIMITED,SG,ORG-NHPL1-AP,2002-10-25,2020-05-27,apnic,"aut-num:        AS18391\nas-name:        NETPLUZ-AS-AP\ndescr:          NETPLUZ HOLDINGS PRIVATE LIMITED\ncountry:        SG\norg:            ORG-NHPL1-AP\nadmin-c:        NHPL1-AP\ntech-c:         NHPL1-AP\nabuse-c:        AN683-AP\nmnt-lower:      MAINT-NETPLUZ-SG\nmnt-routes:     MAINT-NETPLUZ-SG\nmnt-by:         APNIC-HM\nmnt-irt:        IRT-NETPLUZ-SG\nlast-modified:  2020-05-27T13:03:58Z\nsource:         APNIC\n\n\nmntner:         APNIC-HM\nadmin-c:        RTT10-RIPE\nupd-to:         roufique@rtat.net\nauth:           MD5-PW\nauth:           SSO\nauth:           SSO\nmnt-by:         APNIC-HM\ncreated:        2019-04-09T03:52:39Z\nlast-modified:  2019-04-20T09:18:19Z\nsource:         RIPE\n\nrole:           NETPLUZ HOLDINGS PRIVATE LIMITED administrator\naddress:        5070 ANG MO KIO INDUSTRIAL PARK 2, #01-1503, SINGAPORE (569573), SINGAPORE  569573\ncountry:        SG\nphone:          +65-91859195\nfax-no:         +65-91859195\ne-mail:         anthony@netpluz.asia\nadmin-c:        NHPL1-AP\ntech-c:         NHPL1-AP\nnic-hdl:        NHPL1-AP\nmnt-by:         MAINT-NETPLUZ-SG\nlast-modified:  2015-02-25T01:31:56Z\nsource:         APNIC\n\nrole:           ABUSE NETPLUZSG\ncountry:        ZZ\naddress:        5070 ANG MO KIO INDUSTRIAL PARK 2, # 01-1503, SINGAPORE (569573), SINGAPORE 569573\nphone:          +000000000\ne-mail:         noc@netpluz.asia\nadmin-c:        NHPL1-AP\ntech-c:         NHPL1-AP\nnic-hdl:        AN683-AP\nremarks:        Generated from irt object IRT-NETPLUZ-SG\nremarks:        noc@netpluz.asia was validated on 2025-05-29\nabuse-mailbox:  noc@netpluz.asia\nmnt-by:         APNIC-ABUSE\nlast-modified:  2025-05-29T00:50:04Z\nsource:         APNIC"
AS35840,Jacques Moret Inc,US,JACQU,2018-04-30,2018-04-30,arin,ASHandle:       AS35840\nOrgID:          JACQU\nASName:         MORET-AS\nASNumber:       35840\nRegDate:        2018-04-30\nUpdated:        2018-04-30\nSource:         ARIN\n\n\nOrgID:          JACQU\nOrgName:        Jacques Moret Inc\nCanAllocate:    \nStreet:         1411 Broadway 8th Floor\nCity:           New York\nState/Prov:     NY\nCountry:        US\nPostalCode:     10018\nRegDate:        2005-03-15\nUpdated:        2018-05-02\nOrgAdminHandle: LEWIS763-ARIN\nOrgTechHandle:  LEWIS763-ARIN\nOrgAbuseHandle: LEWIS763-ARIN\nSource:         ARIN\n\n\nPOCHandle:      LEWIS763-ARIN\nIsRole:         N\nLastName:       Lewis\nFirstName:      Kevin\nStreet:         1411 Broadway\nStreet:         8th fl\nCity:           New York\nState/Prov:     NY\nCountry:        US\nPostalCode:     10028\nRegDate:        2018-05-02\nUpdated:        2022-05-04\nOfficePhone:    +1-212-354-2400\nMailbox:        kevin@moret.com\nSource:         ARIN\n
AS36828,xTom,US,LL-316,2014-04-24,2018-03-22,arin,ASHandle:       AS36828\nOrgID:          LL-316\nASName:         XTOM-US\nASNumber:       36828\nRegDate:        2014-04-24\nComment:        https://xtom.com/\nComment:        Please send an email to abuse@xtom.com with logs for any abuse complaints.\nComment:        Complaints sent to any other POC will be ignored.\nUpdated:        2018-03-22\nTechHandle:     NOC32368-ARIN\nAbuseHandle:    AOC20-ARIN\nNOCHandle:      NOC32368-ARIN\nSource:         ARIN\n\n\nOrgID:          LL-316\nOrgName:        xTom\nCanAllocate:    \nStreet:         11 Great Oaks Blvd\nCity:           San Jose\nState/Prov:     CA\nCountry:        US\nPostalCode:     95119-1242\nComment:        https://xtom.com/\nComment:        Please send an email to abuse@xtom.com with logs for any abuse complaints.\nComment:        Complaints sent to any other POC will be ignored.\nRegDate:        2013-12-27\nUpdated:        2024-11-25\nOrgAdminHandle: NOC32368-ARIN\nOrgTechHandle:  NOC32368-ARIN\nOrgAbuseHandle: AOC20-ARIN\nOrgNOCHandle:   NOC32368-ARIN\nSource:         ARIN\n\n\nPOCHandle:      NOC32368-ARIN\nIsRole:         Y\nLastName:       Network Operations Center\nFirstName:      \nStreet:         1603 Capitol Ave.\nCity:           Cheyenne\nState/Prov:     WY\nCountry:        US\nPostalCode:     82001\nRegDate:        2015-06-10\nUpdated:        2024-08-30\nOfficePhone:    +1-646-687-6888\nMailbox:        noc@xtom.com\nSource:         ARIN\n\n\nPOCHandle:      AOC20-ARIN\nIsRole:         Y\nLastName:       Abuse Operations Center\nFirstName:      \nStreet:         1603 Capitol Ave.\nCity:           Cheyenne\nState/Prov:     WY\nCountry:        US\nPostalCode:     82001\nRegDate:        2017-05-17\nUpdated:        2024-10-30\nOfficePhone:    +1-646-687-6888\nMailbox:        abuse@xtom.com\nSource:         ARIN\n\n\nPOCHandle:      NOC32368-ARIN\nIsRole:         Y\nLastName:       Network Operations Center\nFirstName:      \nStreet:         1603 Capitol Ave.\nCity:           Cheyenne\nState/Prov:     WY\nCountry:        US\nPostalCode:     82001\nRegDate:        2015-06-10\nUpdated:        2024-08-30\nOfficePhone:    +1-646-687-6888\nMailbox:        noc@xtom.com\nSource:         ARIN\n\n\nPOCHandle:      AOC20-ARIN\nIsRole:         Y\nLastName:       Abuse Operations Center\nFirstName:      \nStreet:         1603 Capitol Ave.\nCity:           Cheyenne\nState/Prov:     WY\nCountry:        US\nPostalCode:     82001\nRegDate:        2017-05-17\nUpdated:        2024-10-30\nOfficePhone:    +1-646-687-6888\nMailbox:        abuse@xtom.com\nSource:         ARIN\n
AS273865,AREVALO CARLOS ALBERTO,AR,,2024-06-28,2024-06-29,lacnic,"aut-num:     AS273865\nowner:       AREVALO CARLOS ALBERTO\nownerid:     AR-GISC-LACNIC\nresponsible: Carlos Alberto Arevalo\naddress:     Eugenio Méndez, 502, \naddress:     4000 - San Miguel de Tucuman - Tucuman\ncountry:     AR\nphone:       +54  93814493728\nowner-c:     CAA216\nrouting-c:   CAA216\nabuse-c:     CAA216\ncreated:     20240628\nchanged:     20240629\n\nnic-hdl:     CAA216\nperson:      Carlos Arevalo\ne-mail:      redes@giganetsc.com.ar\naddress:     Eugenio Méndez, 502, \naddress:     4000 - San Miguel de Tucuman - Tucuman\ncountry:     AR\nphone:       +54  3814493728\ncreated:     20240130\nchanged:     20240130"
AS269917,COOPERATIVA LIMITADA DE ELECTRICIDAD DE GUATIMOZIN,AR,,2020-01-22,2020-01-23,lacnic,"aut-num:     AS269917\nowner:       COOPERATIVA LIMITADA DE ELECTRICIDAD DE GUATIMOZIN\nownerid:     AR-CGLT-LACNIC\nresponsible: Maximo Raban\naddress:     Tucuman 165, , \naddress:     319 - Guatimozin - \ncountry:     AR\nphone:       +54 3468 495026\nowner-c:     MAR313\nrouting-c:   MAR313\nabuse-c:     MAR313\ncreated:     20200122\nchanged:     20200123\n\nnic-hdl:     MAR313\nperson:      Maximo Raban\ne-mail:      maximo@rnet.com.ar\naddress:     Tucuman, 165, \naddress:     2627 - Guatimozin - Cordoba\ncountry:     AR\nphone:       +54  3468527328\ncreated:     20191119\nchanged:     20220127"
AS11439,Caneris Inc.,CA,CANER,2010-06-25,2012-03-02,arin,"ASHandle:       AS11439\nOrgID:          CANER\nASName:         CANERIS\nASNumber:       11439\nRegDate:        2010-06-25\nComment:        http://www.caneris.com\nUpdated:        2012-03-02\nSource:         ARIN\n\n\nOrgID:          CANER\nOrgName:        Caneris Inc.\nCanAllocate:    \nStreet:         PO BOX 2456, STN B\nCity:           Richmond Hill\nState/Prov:     ON\nCountry:        CA\nPostalCode:     L4E-1A5\nComment:        http://www.caneris.com\nRegDate:        2008-11-26\nUpdated:        2024-11-25\nReferralServer: rwhois://rwhois.caneris.com:4321\nOrgAdminHandle: EMA109-ARIN\nOrgTechHandle:  NOC3408-ARIN\nOrgAbuseHandle: NOC3408-ARIN\nOrgNOCHandle:   NOC3408-ARIN\nSource:         ARIN\n\n\nPOCHandle:      EMA109-ARIN\nIsRole:         N\nLastName:       Malile\nFirstName:      Erjon\nStreet:         PO BOX 2456, STN B\nCity:           Richmond Hill\nState/Prov:     ON\nCountry:        CA\nPostalCode:     L4E-1A5\nRegDate:        2008-11-26\nUpdated:        2022-10-27\nOfficePhone:    +1-647-723-6365\nMailbox:        erjon@caneris.ca\nSource:         ARIN\n\n\nPOCHandle:      NOC3408-ARIN\nIsRole:         Y\nLastName:       NOC\nFirstName:      \nStreet:         PO BOX 2456, STN B\nCity:           Richmond Hill\nState/Prov:     ON\nCountry:        CA\nPostalCode:     L4E-1A5\nRegDate:        2008-11-26\nUpdated:        2022-10-27\nOfficePhone:    +1-647-723-6365\nMailbox:        noc@caneris.com\nSource:         ARIN\n"
AS151804,S NOTION PTE. LTD,SG,ORG-SNPL23-AP,2023-09-14,2024-04-17,apnic,"aut-num:        AS151804\nas-name:        SNOTIONPTELTD-AS-AP\ndescr:          S NOTION PTE. LTD\ncountry:        SG\norg:            ORG-SNPL23-AP\nadmin-c:        SNPL10-AP\ntech-c:         SNPL10-AP\nabuse-c:        AS3706-AP\nmnt-lower:      MAINT-SNOTIONPTELTD-SG\nmnt-routes:     MAINT-SNOTIONPTELTD-SG\nmnt-by:         APNIC-HM\nmnt-irt:        IRT-SNOTIONPTELTD-SG\nlast-modified:  2024-04-17T13:08:04Z\nsource:         APNIC\n\n\nmntner:         APNIC-HM\nadmin-c:        RTT10-RIPE\nupd-to:         roufique@rtat.net\nauth:           MD5-PW\nauth:           SSO\nauth:           SSO\nmnt-by:         APNIC-HM\ncreated:        2019-04-09T03:52:39Z\nlast-modified:  2019-04-20T09:18:19Z\nsource:         RIPE\n\nrole:           ABUSE SNOTIONPTELTDSG\naddress:        9 RAFFLES PLACE # 06-01 PEPUBLIC PLAZA SINGAPORE, SINGAPORE SINGAPORE 048619\ncountry:        ZZ\nphone:          +000000000\ne-mail:         SNOTION01@GMAIL.COM\nadmin-c:        SNPL10-AP\ntech-c:         SNPL10-AP\nnic-hdl:        AS3706-AP\nremarks:        Generated from irt object IRT-SNOTIONPTELTD-SG\nremarks:        snotion01@gmail.com is invalid\nabuse-mailbox:  SNOTION01@GMAIL.COM\nmnt-by:         APNIC-ABUSE\nlast-modified:  2024-04-17T13:08:04Z\nsource:         APNIC\n\n\nrole:           S NOTION PTE LTD administrator\naddress:        9 RAFFLES PLACE #06-01 PEPUBLIC PLAZA SINGAPORE, SINGAPORE SINGAPORE 048619\ncountry:        SG\nphone:          +65-91358250\ne-mail:         SNOTION01@GMAIL.COM\nadmin-c:        SNPL10-AP\ntech-c:         SNPL10-AP\nnic-hdl:        SNPL10-AP\nmnt-by:         MAINT-SNOTIONPTELTD-SG\nlast-modified:  2023-09-14T07:30:54Z\nsource:         APNIC\n"
AS57167,Maksym Rivtin,UA,ORG-PRML1-RIPE,2011-08-11,2022-08-15,ripe,"aut-num:        AS57167\nas-name:        CITYHOST-AS\norg:            ORG-PRML1-RIPE\nimport:         from AS25229 accept ANY\nexport:         to AS25229 announce AS57167\nimport:         from AS34867 accept ANY\nexport:         to AS34867 announce AS57167\nsponsoring-org: ORG-CL638-RIPE\nadmin-c:        MR26483-RIPE\ntech-c:         CN2143-RIPE\nstatus:         ASSIGNED\nmnt-by:         RIPE-NCC-END-MNT\nmnt-by:         lir-ua-cityhost-1-MNT\nmnt-by:         CHTUA-MNT\ncreated:        2011-08-11T09:29:00Z\nlast-modified:  2022-08-15T20:35:57Z\nsource:         RIPE\nabuse-email:    abuse@cityhost.net.ua\nabuse-c:        AR18210-RIPE\nabuse-org:      ORG-CL638-RIPE\n\norganisation:   ORG-PRML1-RIPE\norg-name:       Maksym Rivtin\ncountry:        UA\norg-type:       OTHER\naddress:        04070, Ukraine, Kyiv\naddress:        str. Hryhoriia Skovorody, b. 3, ap. 28.\nadmin-c:        CN2143-RIPE\ntech-c:         CN2143-RIPE\ne-mail:         noc@cityhost.net.ua\nabuse-c:        AR18210-RIPE\nmnt-ref:        lir-ua-cityhost-1-MNT\nmnt-by:         CHTUA-MNT\nmnt-by:         lir-ua-cityhost-1-MNT\ncreated:        2011-08-08T08:45:13Z\nlast-modified:  2022-12-01T16:43:47Z\nsource:         RIPE\n\nrole:           Abuse-C Role\nnic-hdl:        AR18210-RIPE\nabuse-mailbox:  abuse@cityhost.net.ua\nmnt-by:         VOLIA-DC-MNT\nmnt-by:         CHTUA-MNT\naddress:        04070, Ukraine, Kyiv\naddress:        str. Hryhoriia Skovorody, b. 3, ap. 28.\ne-mail:         noc@cityhost.net.ua\ncreated:        2014-01-30T15:01:55Z\nlast-modified:  2014-01-30T15:01:55Z\nsource:         RIPE\n\nrole:           Cityhost NOC\naddress:        per Zahidniy 3c, of 3-13\naddress:        Kiev, Ukraine\nabuse-mailbox:  abuse@cityhost.net.ua\ne-mail:         noc@cityhost.net.ua\nremarks:        trouble: --------------------------------------------------\nremarks:        trouble: Contacts for CityHost\nremarks:        trouble: --------------------------------------------------\nremarks:        trouble: SPAM reports: abuse@cityhost.net.ua\nremarks:        trouble: Network security reports: abuse@cityhost.net.ua\nremarks:        trouble: Routing and peering: noc@cityhost.net.ua\nremarks:        trouble: --------------------------------------------------\nadmin-c:        RML1102-RIPE\ntech-c:         RML1102-RIPE\nnic-hdl:        CN2143-RIPE\nmnt-by:         CHTUA-MNT\ncreated:        2011-04-04T12:18:10Z\nlast-modified:  2021-08-13T10:25:19Z\nsource:         RIPE\n\nrole:           Abuse-C Role\nnic-hdl:        AR18210-RIPE\nabuse-mailbox:  abuse@cityhost.net.ua\nmnt-by:         VOLIA-DC-MNT\nmnt-by:         CHTUA-MNT\naddress:        04070, Ukraine, Kyiv\naddress:        str. Hryhoriia Skovorody, b. 3, ap. 28.\ne-mail:         noc@cityhost.net.ua\ncreated:        2014-01-30T15:01:55Z\nlast-modified:  2014-01-30T15:01:55Z\nsource:         RIPE\n\nrole:           Oleg Rivtin\naddress:        UKRAINE\naddress:        Kyiv\naddress:        03067\naddress:        per Zahidniy 3c of 3-11\nphone:          +380 662516287\ne-mail:         support@cityhost.net.ua\nnic-hdl:        MR26483-RIPE\nmnt-by:         lir-ua-cityhost-1-MNT\ncreated:        2021-08-05T07:46:32Z\nlast-modified:  2022-08-08T08:45:26Z\nsource:         RIPE\n\nrole:           Cityhost NOC\naddress:        per Zahidniy 3c, of 3-13\naddress:        Kiev, Ukraine\nabuse-mailbox:  abuse@cityhost.net.ua\ne-mail:         noc@cityhost.net.ua\nremarks:        trouble: --------------------------------------------------\nremarks:        trouble: Contacts for CityHost\nremarks:        trouble: --------------------------------------------------\nremarks:        trouble: SPAM reports: abuse@cityhost.net.ua\nremarks:        trouble: Network security reports: abuse@cityhost.net.ua\nremarks:        trouble: Routing and peering: noc@cityhost.net.ua\nremarks:        trouble: --------------------------------------------------\nadmin-c:        RML1102-RIPE\ntech-c:         RML1102-RIPE\nnic-hdl:        CN2143-RIPE\nmnt-by:         CHTUA-MNT\ncreated:        2011-04-04T12:18:10Z\nlast-modified:  2021-08-13T10:25:19Z\nsource:         RIPE"
