id,name,admin_id,tech_id,org_id,created,updated,source,raw
GOTR1-MNT,Government of the Republic of Namibia,EA34-AFRINIC\nSA208-AFRINIC,EA34-AFRINIC\nSA208-AFRINIC,,,2024-06-25,afrinic,mntner:         GotR1-MNT\ndescr:          Government of the Republic of Namibia\nadmin-c:        EA34-AFRINIC\nadmin-c:        SA208-AFRINIC\ntech-c:         EA34-AFRINIC\ntech-c:         SA208-AFRINIC\nupd-to:         Erastus.Amutenya@opm.gov.na\nauth:           BCRYPT-PW # Filtered\nmnt-by:         GotR1-MNT\nchanged:        hostmaster@afrinic.net 20181025\nchanged:        hostmaster@afrinic.net 20210818\nchanged:        hostmaster@afrinic.net 20240625\nsource:         AFRINIC # Filtered
MAINT-IN-GURUNET,Guru Netcom Pvt Ltd,OM74-AP,,,,2017-09-30,apnic,mntner:         MAINT-IN-GURUNET\ndescr:          Guru Netcom Pvt Ltd\nadmin-c:        OM74-AP\nupd-to:         abhayparakh@gurugroup.in\nmnt-by:         MAINT-IN-GURUNET\nauth:           # Filtered\nreferral-by:    APNIC-HM\nlast-modified:  2017-09-30T09:05:02Z\nsource:         APNIC
ENIB-MNT,,DUMY-RIPE,,,2023-11-21,2023-11-21,ripe,"mntner:         ENIB-MNT\nadmin-c:        DUMY-RIPE\nupd-to:         unread@ripe.net\nauth:           MD5-PW $1$SaltSalt$DummifiedMD5HashValue.   # Real value hidden for security\nmnt-by:         ENIB-MNT\ncreated:        2023-11-21T22:19:00Z\nlast-modified:  2023-11-21T22:19:00Z\nsource:         RIPE\nremarks:        ****************************\nremarks:        * THIS OBJECT IS MODIFIED\nremarks:        * Please note that all data that is generally regarded as personal\nremarks:        * data has been removed from this object.\nremarks:        * To view the original object, please query the RIPE Database at:\nremarks:        * http://www.ripe.net/whois\nremarks:        ****************************\n"
MAINT-MTC-BD,My Tech Communication,MTCA5-AP,,,,2024-02-27,apnic,mntner:         MAINT-MTC-BD\ndescr:          My Tech Communication\ncountry:        BD\nadmin-c:        MTCA5-AP\nupd-to:         abuse@mytechbd.net\nauth:           # Filtered\nmnt-by:         MAINT-MTC-BD\nreferral-by:    APNIC-HM\nlast-modified:  2024-02-27T04:31:13Z\nsource:         APNIC
MNT-HR-CROATIAN-1,Startup maintainer,SV7487-RIPE,SV7487-RIPE,,2019-01-24,2020-01-20,ripe,mntner:         mnt-hr-croatian-1\ndescr:          Startup maintainer\nadmin-c:        SV7487-RIPE\ntech-c:         SV7487-RIPE\nupd-to:         sinisa.vukojevic@hakom.hr\nauth:           SSO\nauth:           SSO\nmnt-by:         mnt-hr-croatian-1\ncreated:        2019-01-24T07:57:08Z\nlast-modified:  2020-01-20T09:17:54Z\nsource:         RIPE
LIR-AT-TWINFORMATICS-1-MNT,Startup maintainer,SM40054-RIPE,SM40054-RIPE,,2023-09-27,2023-09-27,ripe,mntner:         lir-at-twinformatics-1-MNT\ndescr:          Startup maintainer\nadmin-c:        SM40054-RIPE\ntech-c:         SM40054-RIPE\nupd-to:         network.domains@twinformatics.at\nauth:           SSO\nauth:           SSO\nmnt-by:         lir-at-twinformatics-1-MNT\ncreated:        2023-09-27T07:21:56Z\nlast-modified:  2023-09-27T07:21:56Z\nsource:         RIPE
ASTEROS-MNT,"ZAO ""Asteros""",AY535-RIPE,AY535-RIPE,,2011-01-28,2025-06-25,ripe,"mntner:         ASTEROS-MNT\ndescr:          ZAO ""Asteros""\nadmin-c:        AY535-RIPE\ntech-c:         AY535-RIPE\nupd-to:         contact@asteros.ru\nauth:           PGPKEY-C396EEA0\nauth:           SSO\nmnt-by:         ASTEROS-MNT\ncreated:        2011-01-28T14:43:02Z\nlast-modified:  2025-06-25T10:50:10Z\nsource:         RIPE"
MAINT-ID-DINETKAN,ID-DINETKAN\nPT.PUTRA GARSEL INTERKONEKSI\nGarut,AR1415-AP,AR1415-AP,,,2023-12-22,idnic,mntner:         MAINT-ID-DINETKAN\ndescr:          ID-DINETKAN\ndescr:          PT.PUTRA GARSEL INTERKONEKSI\ndescr:          Garut\nupd-to:         care@dinetkan.com\nadmin-c:        AR1415-AP\ntech-c:         AR1415-AP\nmnt-by:         MAINT-ID-DINETKAN\nauth:           # Filtered\nremarks:        Send spam & abuse report to: care@dinetkan.com\nlast-modified:  2023-12-22T07:57:39Z\nsource:         IDNIC\n
LIR-US-SAILY-1-MNT,Startup maintainer,NO2593-RIPE,NO2593-RIPE,,2024-09-18,2024-09-18,ripe,mntner:         lir-us-saily-1-MNT\ndescr:          Startup maintainer\nadmin-c:        NO2593-RIPE\ntech-c:         NO2593-RIPE\nupd-to:         noc@saily.com\nauth:           SSO\nmnt-by:         lir-us-saily-1-MNT\ncreated:        2024-09-18T14:10:14Z\nlast-modified:  2024-09-18T14:10:14Z\nsource:         RIPE
MAINT-QHCBD-CN,Shenzhen Qianhai cloud and Big data limited company,SA973-AP,,,,2016-08-26,apnic,mntner:         MAINT-QHCBD-CN\ndescr:          Shenzhen Qianhai cloud and Big data limited company\ncountry:        CN\nadmin-c:        SA973-AP\nupd-to:         abuse@bigdataix.com.cn\nauth:           # Filtered\nmnt-by:         MAINT-QHCBD-CN\nreferral-by:    APNIC-HM\nlast-modified:  2016-08-26T04:31:09Z\nsource:         APNIC
