id,name,address,street,city,state,postalcode,country,admin_id,tech_id,abuse_id,mnt_id,email,domain,created,updated,source,raw
C05095788,gategroup Cloud,,"c/o SGNS, 401 N. Broad St.",Philadelphia,PA,19106,US,,,,,,,2014-06-13,2014-06-13,arin,"OrgID:          C05095788\nOrgName:        gategroup Cloud\nCanAllocate:    \nStreet:         c/o SGNS, 401 N. Broad St.\nCity:           Philadelphia\nState/Prov:     PA\nCountry:        US\nPostalCode:     19106\nRegDate:        2014-06-13\nUpdated:        2014-06-13\nSource:         ARIN\n"
C02540456,Pallasades Pictures (IPL),,101 Tyrellan Ave\nATTN William Santostefano,Staten Island,NY,10309-0000,US,,,,,,,2010-07-11,2011-03-19,arin,OrgID:          C02540456\nOrgName:        Pallasades Pictures (IPL)\nCanAllocate:    \nStreet:         101 Tyrellan Ave\nStreet:         ATTN William Santostefano\nCity:           Staten Island\nState/Prov:     NY\nCountry:        US\nPostalCode:     10309-0000\nRegDate:        2010-07-11\nUpdated:        2011-03-19\nSource:         ARIN\n
ORG-VA23446-RIPE,VNET-org-86.110.237.147,Namestie Hraniciarov 39\nBratislava\n811 07 Slovakia,,,,,,,,VA27186-RIPE,VNET-MNT,86.110.237.147@abuse.vnet.sk,vnet.sk,2015-10-28,2015-10-28,ripe,organisation:   ORG-VA23446-RIPE\norg-name:       VNET-org-86.110.237.147\norg-type:       OTHER\naddress:        Namestie Hraniciarov 39\naddress:        Bratislava\naddress:        811 07 Slovakia\nabuse-c:        VA27186-RIPE\ne-mail:         86.110.237.147@abuse.vnet.sk\nmnt-by:         VNET-MNT\nmnt-ref:        VNET-MNT\ncreated:        2015-10-28T15:35:46Z\nlast-modified:  2015-10-28T15:35:46Z\nsource:         RIPE\n\nrole:           VNET-abuse-86.110.237.147\naddress:        Namestie Hraniciarov 39\naddress:        Bratislava\naddress:        811 07 Slovakia\ne-mail:         86.110.237.147@abuse.vnet.sk\nabuse-mailbox:  86.110.237.147@abuse.vnet.sk\nmnt-by:         VNET-MNT\nnic-hdl:        VA27186-RIPE\ncreated:        2015-10-28T15:35:46Z\nlast-modified:  2015-10-28T15:35:46Z\nsource:         RIPE
C08252386,SOUTH CAROLINA EMBROIDERY,,2 MAUNEY CT,COLUMBIA,SC,29201,US,,,,,,scembroidery.com,2022-03-17,2022-03-17,arin,OrgID:          C08252386\nOrgName:        SOUTH CAROLINA EMBROIDERY\nCanAllocate:    \nStreet:         2 MAUNEY CT\nCity:           COLUMBIA\nState/Prov:     SC\nCountry:        US\nPostalCode:     29201\nRegDate:        2022-03-17\nUpdated:        2022-03-17\nSource:         ARIN\n
C08285172,EAG  EVANS ANALYTICAL GROUP,,628 HUTTON ST,RALEIGH,NC,27606,US,,,,,,,2022-03-31,2022-03-31,arin,OrgID:          C08285172\nOrgName:        EAG  EVANS ANALYTICAL GROUP\nCanAllocate:    \nStreet:         628 HUTTON ST\nCity:           RALEIGH\nState/Prov:     NC\nCountry:        US\nPostalCode:     27606\nRegDate:        2022-03-31\nUpdated:        2022-03-31\nSource:         ARIN\n
C05416082,ITW GRAPHICS,,375 NEW STATE RD,MANCHESTER,CT,06042-1818,US,,,,,,itwgraphics.com,2014-10-28,2014-10-28,arin,OrgID:          C05416082\nOrgName:        ITW GRAPHICS\nCanAllocate:    \nStreet:         375 NEW STATE RD\nCity:           MANCHESTER\nState/Prov:     CT\nCountry:        US\nPostalCode:     06042-1818\nRegDate:        2014-10-28\nUpdated:        2014-10-28\nSource:         ARIN\n
C09624003,JFK AIRPORT,,4 CENTRAL TERMINAL AREA,JAMAICA,NY,11430,US,,,,,,,2023-06-07,2023-06-07,arin,OrgID:          C09624003\nOrgName:        JFK AIRPORT\nCanAllocate:    \nStreet:         4 CENTRAL TERMINAL AREA\nCity:           JAMAICA\nState/Prov:     NY\nCountry:        US\nPostalCode:     11430\nRegDate:        2023-06-07\nUpdated:        2023-06-07\nSource:         ARIN\n
AMI-230,THOMAS A. MASON COMPANY I,,1501 N MARTIN LUTHER KING JR DR,MILWAUKEE,WI,53212,US,ANDER2100-ARIN,ANDER2100-ARIN,ANDER2100-ARIN,,,att.com,2019-06-21,2019-06-21,arin,OrgID:          AMI-230\nOrgName:        ACC-THOMAS A. MASON COMPANY I\nCanAllocate:    \nStreet:         1501 N MARTIN LUTHER KING JR DR\nCity:           MILWAUKEE\nState/Prov:     WI\nCountry:        US\nPostalCode:     53212\nRegDate:        2019-06-21\nUpdated:        2019-06-21\nOrgAdminHandle: ANDER2100-ARIN\nOrgTechHandle:  ANDER2100-ARIN\nOrgAbuseHandle: ANDER2100-ARIN\nSource:         ARIN\n\n\nPOCHandle:      ANDER2100-ARIN\nIsRole:         N\nLastName:       ANDERSON\nFirstName:      AUSTIN\nStreet:         1501 N DR MARTIN LUTHER KING JR DR\nCity:           MILWAUKEE\nState/Prov:     WI\nCountry:        US\nPostalCode:     53212-3910\nRegDate:        2019-06-21\nUpdated:        2019-06-21\nOfficePhone:    +1-234-719-7904\nMailbox:        aa9232@att.com\nSource:         ARIN\n
C06919175,Private Customer - AT&T Internet Services,,Private Residence,Richardson,TX,75082,US,,,,,,,2018-03-09,2018-07-19,arin,OrgID:          C06919175\nOrgName:        Private Customer - AT&T Internet Services\nCanAllocate:    \nStreet:         Private Residence\nCity:           Richardson\nState/Prov:     TX\nCountry:        US\nPostalCode:     75082\nRegDate:        2018-03-09\nUpdated:        2018-07-19\nSource:         ARIN\n
SMPL,"Simple Network Communications, Inc",,"16870 W. Bernardo Drive, Suite 100",San Diego,CA,92127,US,HOSTA3-ARIN,HOSTA3-ARIN,HAS3-ARIN,,,miva.com,1997-08-26,2025-02-12,arin,"OrgID:          SMPL\nOrgName:        Simple Network Communications, Inc\nCanAllocate:    \nStreet:         16870 W. Bernardo Drive, Suite 100\nCity:           San Diego\nState/Prov:     CA\nCountry:        US\nPostalCode:     92127\nRegDate:        1997-08-26\nUpdated:        2025-02-12\nOrgAdminHandle: HOSTA3-ARIN\nOrgTechHandle:  HOSTA3-ARIN\nOrgAbuseHandle: HAS3-ARIN\nSource:         ARIN\n\n\nPOCHandle:      HAS3-ARIN\nIsRole:         Y\nLastName:       Hostasaurus Abuse Staff\nFirstName:      \nStreet:         3250 Parkside Center\nCity:           Tampa\nState/Prov:     FL\nCountry:        US\nPostalCode:     33619\nRegDate:        2004-10-18\nUpdated:        2024-11-29\nOfficePhone:    +1-858-490-2570\nMailbox:        abuse@abuse.hostasaurus.com\nSource:         ARIN\n\n\nPOCHandle:      HOSTA3-ARIN\nIsRole:         Y\nLastName:       Hostasaurus NOC\nFirstName:      \nStreet:         3250 Parkside Center\nCity:           Tampa\nState/Prov:     FL\nCountry:        US\nPostalCode:     33619\nRegDate:        2004-10-18\nUpdated:        2024-12-01\nOfficePhone:    +1-858-490-2570\nMailbox:        saas@miva.com\nSource:         ARIN\n"
