id,name,mobilephone,officephone,fax,address,country,email,abuse_email,created,updated,source,raw
CST1-AFRINIC,Customer Services Team,,,,Ebene,,,,,,afrinic,role:           Customer Services Team\naddress:        Ebene\nadmin-c:        CR5-AFRINIC\nadmin-c:        PB15-AFRINIC\ntech-c:         CR5-AFRINIC\ntech-c:         PB15-AFRINIC\nnic-hdl:        CST1-AFRINIC\nmnt-by:         CS-MNT\nsource:         AFRINIC # Filtered
AM1038-AP E-MAI ANSWER FROM RIR TRUNCATED,AS Manager,,,,,,,,,,apnic,person:         AS Manager\nnic-hdl:        AM1038-AP e-mai Answer from RIR truncated
NM61-ARIN,Nelson Munoz,,(507) 265-6355,,Ave. Balboa Bay Mall #7\,PA,nmunoz@latin1.net,nmunoz@latin1.net,,,arin-historic,"nic-hdl:     NM61-ARIN\nperson:      Nelson Munoz\ne-mail:      nmunoz@latin1.net\naddress:     Ave. Balboa Bay Mall #7\\nPanama, 551564\ncountry:     PA\nphone:       (507) 265-6355\nsource:      ARIN-HISTORIC"
HMJ-ARIN,Hector M. Jacas,,+(537) 336530,,"Consultoria BioMundi\nCalle 200 No. 1922 e/ 19 y 21\nAtabey, Playa\nHavana",CU,jacas@BIOTEC.CU,jacas@BIOTEC.CU,,,arin-historic,"nic-hdl:     HMJ-ARIN\nperson:      Hector M. Jacas\ne-mail:      jacas@BIOTEC.CU\naddress:     Consultoria BioMundi\naddress:     Calle 200 No. 1922 e/ 19 y 21\naddress:     Atabey, Playa\naddress:     Havana\ncountry:     CU\nphone:       +(537) 336530\nsource:      ARIN-HISTORIC"
AV222-ARIN,Alejandra Vilche,,+1-54-41-494290,,"CyberLand\nPresidente Roca 758\nRosario, Santa Fe",AR,cyberlan@SATLINK.COM,cyberlan@SATLINK.COM,,,arin-historic,"nic-hdl:     AV222-ARIN\nperson:      Alejandra Vilche\ne-mail:      cyberlan@SATLINK.COM\naddress:     CyberLand\naddress:     Presidente Roca 758\naddress:     Rosario, Santa Fe\ncountry:     AR\nphone:       +1-54-41-494290\nsource:      ARIN-HISTORIC"
HR166-ARIN,Humberto Raiti,,+1-54-944-23012,,"Cooperativa de Electricidad Bariloche\nAlmirante O'Connor 730\nBariloche,",AR,postmaster@BARILOCHE.COM.AR,postmaster@BARILOCHE.COM.AR,,,arin-historic,"nic-hdl:     HR166-ARIN\nperson:      Humberto Raiti\ne-mail:      postmaster@BARILOCHE.COM.AR\naddress:     Cooperativa de Electricidad Bariloche\naddress:     Almirante O'Connor 730\naddress:     Bariloche,\ncountry:     AR\nphone:       +1-54-944-23012\nsource:      ARIN-HISTORIC"
AB497-ARIN,Alejandro Blufstein,,+54-1-371-5070,,"Sisnet S.A.\nAyacucho 505, 2nd floor D\nBuenos Aires",AR,postmaster@REDGEMMA.COM,postmaster@REDGEMMA.COM,,,arin-historic,"nic-hdl:     AB497-ARIN\nperson:      Alejandro Blufstein\ne-mail:      postmaster@REDGEMMA.COM\naddress:     Sisnet S.A.\naddress:     Ayacucho 505, 2nd floor D\naddress:     Buenos Aires\ncountry:     AR\nphone:       +54-1-371-5070\nsource:      ARIN-HISTORIC"
OO40-ARIN,Omar Opazo,,+56-32-382626,,GTD-LKovacs\n5 Norte 1020,CL,oopazo@GRUPOGTD.COM,oopazo@GRUPOGTD.COM,,,arin-historic,nic-hdl:     OO40-ARIN\nperson:      Omar Opazo\ne-mail:      oopazo@GRUPOGTD.COM\naddress:     GTD-LKovacs\naddress:     5 Norte 1020\ncountry:     CL\nphone:       +56-32-382626\nsource:      ARIN-HISTORIC
PD406-ARIN,Prospero Dominguez,,+58 044 202665,,"RON SANTA TERESA.\nCarretera Panamericana,Hacienda Sta Teresa,El Consejo.\nMaracay., Aragua.",VE,prosperod@YAHOO.COM,prosperod@YAHOO.COM,,,arin-historic,"nic-hdl:     PD406-ARIN\nperson:      Prospero Dominguez\ne-mail:      prosperod@YAHOO.COM\naddress:     RON SANTA TERESA.\naddress:     Carretera Panamericana,Hacienda Sta Teresa,El Consejo.\naddress:     Maracay., Aragua.\ncountry:     VE\nphone:       +58 044 202665\nsource:      ARIN-HISTORIC"
GC441-ARIN,Gustavo Colangelo,,+58 074 444078,,"NIÑERIAS.\nAv 2 Lora,Edificio el Parque,Local Nro 5,Glorias Patrias.\nMerida., Merida.",VE,Gcolangelo@CANTV.NET,Gcolangelo@CANTV.NET,,,arin-historic,"nic-hdl:     GC441-ARIN\nperson:      Gustavo Colangelo\ne-mail:      Gcolangelo@CANTV.NET\naddress:     NIÑERIAS.\naddress:     Av 2 Lora,Edificio el Parque,Local Nro 5,Glorias Patrias.\naddress:     Merida., Merida.\ncountry:     VE\nphone:       +58 074 444078\nsource:      ARIN-HISTORIC"
