range,id,name,country,status,tech,maintainer,admin,source,whois_domain,updated,org,rdns_domain,domain,geoloc,org_address,asn,as_name,as_domain,as_type
76.81.191.96/27,NET-76-81-191-96-1,TICKET EATERS,US,REASSIGNMENT,,,,arin,,2018-10-26,C07221852,,,,"550 CYCOD PL, BREA, CA, US",AS20001,Charter Communications Inc,charter.com,isp
75.63.105.216/29,SBC-75-63-105-216-29-1806043926,Private Customer - AT&T Internet Services,US,REASSIGNMENT,,,,arin,,2018-06-04,C06995537,,ads-internet.com,,"Private Residence, Richardson, TX, US",AS7018,"AT&T Enterprises, LLC",att.com,isp
138.201.183.2,TIMME-HOSTING-GMBH-UND-CO-KG,Timme Hosting GmbH & Co. KG,DE,LEGACY,FT1863-RIPE,RIPE-NCC-HM-MNT\NHOS-GUN,FT1863-RIPE,ripe,timmehosting.de,2023-08-03,ORG-HOA1-RIPE,,timmehosting.de,,Industriestrasse 25\nD-91710\nGunzenhausen\nGERMANY,AS24940,Hetzner Online GmbH,hetzner.de,hosting
62.118.167.32/27,FIN-LAN,Fin Direktor,RU,ASSIGNED PA,AM2029-RIPE,RIPE-NCC-HM-MNT\NMTU-NOC,AM2029-RIPE,ripe,mtu.ru,2004-01-23,ORG-ZM1-RIPE,,mtu.ru,,"Smolenskaya-Sennaya sq., 27 bld 2\n119121\nMoscow\nRUSSIAN FEDERATION",AS8359,MTS PJSC,mts.ru,isp
90.115.78.15,FR-CABINET-D-SCRETBON--LB_INTERNET,OBS Customer,FR,ASSIGNED PA,AA2914-RIPE,RAIN-TRANSPAC,AA2914-RIPE,ripe,orange-business.com,2022-05-07,ORG-OBS3-RIPE,,orange-business.com,,6 avenue Albert Durand\n31700 Blagnac France,AS3215,Orange S.A.,orange.com,isp
68.190.0.0/20,BRGHM-AL-68-190-0,Charter Communications LLC,US,REALLOCATION,IPADD1-ARIN,,IPADD1-ARIN,arin,charter.com,2003-08-27,CC04,charter.com,charter.com,,"6175 S. Willow Dr, Greenwood Village, CO, US",AS20115,Charter Communications LLC,charter.com,isp
80.155.128.64/28,EMSFLOWER-EMSBUEREN-NET,Emsflower,DE,ASSIGNED PA,TK3089-RIPE,RIPE-NCC-HM-MNT\NDTAG-NIC,TK3089-RIPE,ripe,emsflower.de,2018-05-15,ORG-DTA2-RIPE,emsflower.de,emsflower.de,,Eduard-Schopf-Allee 1\nD-28217\nBremen\nGERMANY,AS3320,Deutsche Telekom AG,telekom.de,isp
68.91.61.0/24,SBC06809106100024050223103959,NDC Corp.6327,US,REASSIGNMENT,,,,arin,,2005-02-23,C01024340,,,,"1950 N Stemmons Frwy Suite 1032, Dallas, TX, US",AS7018,"AT&T Enterprises, LLC",att.com,isp
2600:6000:fd76::/48,JOHN-H-FISHER-PC,"JOHN H. FISHER, P.C.",US,REASSIGNMENT,,,,arin,,2020-12-09,C07704411,,,,"278 WALL ST, KINGSTON, NY, US",AS12271,Charter Communications Inc,charter.com,isp
125.19.22.0/30,SHR4-4324882-KOLKATA,SSHRIRAM CITY UNION FINANCE CO LIMITED,IN,ASSIGNED NON-PORTABLE,NA40-AP,MAINT-IN-BBIL,NA40-AP,apnic,airtel.com,2022-11-29,,,airtel.com,,,AS9498,BHARTI Airtel Ltd.,airtel.in,isp
213.250.56.168/29,OPTIKA-IRMAN,"Telekom Slovenije, d.d.",SI,ASSIGNED PA,SIT111-RIPE,RIPE-NCC-HM-MNT\NAS5603-MNT,SIT111-RIPE,ripe,telekom.si,2021-03-18,ORG-SID2-RIPE,telekom.si,telekom.si,,Cigaletova 15\n1000\nLJUBLJANA\nSLOVENIA,AS5603,"Telekom Slovenije, d.d.",telekom.si,isp
